,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
1127,2,0,0,0,2,4,4,0,0,0,3,3,7,Uncertain
1128,2,7,0,0,4,8,2,3,0,2,4,6,13,Uncertain
1129,0,1,0,0,0,8,7,1,0,0,4,4,9,Uncertain
1130,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1131,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1132,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1133,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1134,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1135,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1136,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1137,2,16,0,2,19,26,3,12,8,1,13,22,49,Uncertain
1138,0,0,0,0,11,33,0,0,0,8,11,19,44,Uncertain
1139,0,0,0,0,11,33,0,0,0,8,11,19,44,Uncertain
1140,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1141,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1142,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1143,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1144,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1145,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1146,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1147,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1148,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1149,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1150,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1151,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1152,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1153,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1154,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1155,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1156,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1157,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1158,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1159,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1160,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1161,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1162,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1163,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1164,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1165,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1166,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1167,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1168,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1169,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1170,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1171,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1172,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1173,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1174,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1175,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1176,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1177,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1178,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1179,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1180,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1181,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1182,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1183,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1184,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1185,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1186,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1187,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1188,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1189,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1190,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1191,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1192,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1193,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1194,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1195,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1196,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1197,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1198,2,9,0,1,5,10,5,5,0,2,8,10,17,Uncertain
1199,2,0,0,0,2,7,7,0,0,0,5,5,10,Trusted
1200,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1201,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1202,0,0,0,0,0,2,2,0,0,0,1,1,3,Uncertain
1203,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1204,2,9,0,1,5,12,7,5,0,2,10,12,19,Trusted
1205,2,0,0,0,2,7,7,0,0,0,5,5,10,Trusted
1206,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1207,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1208,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1209,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1210,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1211,2,16,0,0,8,16,5,9,0,5,10,15,25,Uncertain
1212,0,1,0,0,0,17,16,1,0,0,10,10,18,Trusted
1213,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1214,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1215,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
1216,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1217,2,8,1,1,7,11,5,4,1,1,9,11,21,Uncertain
1218,2,7,0,1,4,8,4,3,0,1,5,6,14,Uncertain
1219,2,0,0,0,2,5,5,0,0,0,3,3,8,Uncertain
1220,0,0,0,0,0,2,2,0,0,0,1,1,3,Uncertain
1221,0,0,0,0,0,8,8,0,0,0,7,7,9,Uncertain
1222,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1223,2,9,0,0,5,13,7,6,0,3,10,13,19,Trusted
1224,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1225,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1226,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1227,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1228,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1229,0,0,0,0,0,10,10,0,0,0,10,10,11,Trusted
1230,2,9,0,0,5,13,7,6,0,3,10,13,19,Trusted
1231,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1232,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1233,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1234,0,0,0,0,0,2,2,0,0,0,1,1,3,Uncertain
1235,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1236,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
1237,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1238,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1239,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1240,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1241,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1242,2,15,0,1,12,16,3,10,3,3,10,16,30,Uncertain
1243,2,12,0,0,5,19,10,6,0,3,10,13,25,Trusted
1244,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1245,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1246,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1247,2,12,0,1,11,16,5,8,3,2,11,16,29,Uncertain
1248,2,12,0,0,5,16,7,6,0,3,8,11,22,Trusted
1249,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1250,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1251,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1252,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1253,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1254,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1255,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1256,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1257,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1258,2,13,0,0,8,16,5,7,0,4,10,14,25,Uncertain
1259,0,3,0,0,4,13,4,2,0,3,6,9,18,Uncertain
1260,2,3,0,0,4,9,2,3,0,3,5,8,14,Uncertain
1261,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1262,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1263,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1264,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1265,4,11,0,2,8,11,6,6,0,2,9,11,22,Uncertain
1266,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
1267,2,0,0,0,2,4,4,0,0,0,3,3,7,Uncertain
1268,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1269,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1270,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1271,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1272,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1273,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1274,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1275,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1276,2,12,0,1,11,16,5,8,3,2,11,16,29,Uncertain
1277,2,12,0,0,5,16,7,6,0,3,8,11,22,Trusted
1278,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1279,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1280,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1281,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1282,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1283,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1284,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1285,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1286,0,0,0,0,0,2,2,0,0,0,1,1,3,Uncertain
1287,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1288,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1289,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1290,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1291,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1292,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1293,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1294,2,2,0,0,3,4,3,2,0,1,3,4,8,Uncertain
1295,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1296,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1297,2,12,0,1,11,14,3,8,3,2,9,14,27,Uncertain
1298,2,12,0,0,5,16,7,6,0,3,8,11,22,Trusted
1299,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1300,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1301,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1302,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1303,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
1304,2,0,0,0,2,5,5,0,0,0,4,4,8,Uncertain
1305,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1306,2,6,0,0,4,7,3,3,0,2,4,6,12,Uncertain
1307,0,0,0,0,0,6,6,0,0,0,3,3,7,Uncertain
1308,0,0,0,0,0,4,4,0,0,0,4,4,5,Uncertain
1309,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1310,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1311,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1312,2,0,0,0,2,5,5,0,0,0,4,4,8,Uncertain
1313,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1314,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1315,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1316,0,0,0,0,0,2,2,0,0,0,1,1,3,Uncertain
1317,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1318,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1319,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1320,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1321,2,6,0,0,4,7,3,4,0,2,5,7,12,Uncertain
1322,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
1323,2,12,0,1,11,16,5,8,3,2,11,16,29,Uncertain
1324,2,12,0,0,5,16,7,6,0,3,8,11,22,Trusted
1325,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1326,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1327,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1328,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1329,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1330,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1331,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1332,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1333,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1334,2,23,0,1,23,28,3,16,7,4,15,26,53,Uncertain
1335,2,30,0,0,10,37,13,12,0,7,16,23,48,Trusted
1336,0,2,0,0,0,32,30,2,0,0,14,14,33,Trusted
1337,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1338,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1339,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1340,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1341,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1342,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1343,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1344,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1345,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1346,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1347,2,6,0,0,4,7,3,4,0,2,5,7,12,Uncertain
1348,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
1349,2,12,0,1,11,14,3,8,3,2,9,14,27,Uncertain
1350,2,12,0,0,5,16,7,6,0,3,8,11,22,Trusted
1351,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1352,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1353,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1354,2,3,0,0,3,7,5,2,0,1,6,7,11,Uncertain
1355,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
1356,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1357,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1358,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1359,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1360,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1361,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1362,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1363,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1364,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1365,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1366,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1367,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1368,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1369,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1370,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1371,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1372,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1373,2,6,0,0,4,9,5,4,0,2,7,9,14,Uncertain
1374,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
1375,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1376,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1377,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1378,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1379,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1380,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1381,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1382,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1383,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1384,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1385,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1386,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1387,2,14,1,2,22,21,3,9,2,1,13,20,48,Uncertain
1388,2,17,1,2,14,25,4,9,4,2,11,17,43,Uncertain
1389,2,24,0,1,8,27,9,8,0,4,10,14,37,Trusted
1390,2,1,0,0,2,23,22,1,0,0,9,9,26,Trusted
1391,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1392,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1393,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1394,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1395,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1396,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1397,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1398,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1399,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1400,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1401,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1402,0,0,0,0,0,8,8,0,0,0,8,8,9,Trusted
1403,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1404,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1405,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1406,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1407,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1408,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1409,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1410,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1411,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1412,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1413,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1414,2,13,0,0,8,14,3,7,0,4,8,12,23,Uncertain
1415,0,3,0,0,2,15,10,2,0,1,8,9,18,Uncertain
1416,2,1,0,0,2,5,2,1,0,1,3,4,8,Uncertain
1417,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
1418,2,9,0,1,10,12,3,6,3,1,8,12,24,Uncertain
1419,2,12,0,0,5,13,4,6,0,3,6,9,19,Uncertain
1420,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1421,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1422,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1423,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1424,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1425,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1426,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1427,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1428,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1429,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1430,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1431,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1432,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1433,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1434,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1435,2,9,0,1,10,12,3,6,3,1,8,12,24,Uncertain
1436,2,12,0,0,5,13,4,6,0,3,6,9,19,Uncertain
1437,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1438,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1439,0,0,0,0,0,8,8,0,0,0,7,7,9,Uncertain
1440,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1441,2,15,0,1,12,16,3,10,3,3,10,16,30,Uncertain
1442,2,12,0,0,5,19,10,6,0,3,10,13,25,Trusted
1443,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1444,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1445,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1446,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1447,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1448,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1449,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1450,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
1451,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1452,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1453,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1454,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
1455,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1456,0,0,0,0,0,2,2,0,0,0,1,1,3,Uncertain
1457,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1458,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
1459,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1460,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1461,2,15,0,1,11,19,7,8,2,3,13,18,32,Trusted
1462,2,9,0,0,4,18,11,5,0,2,9,11,23,Uncertain
1463,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1464,0,0,0,0,0,8,8,0,0,0,4,4,9,Trusted
1465,2,9,0,1,10,12,3,6,3,1,8,12,24,Uncertain
1466,2,12,0,0,5,13,4,6,0,3,6,9,19,Uncertain
1467,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1468,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1469,2,30,1,1,29,40,5,16,5,5,18,31,72,Uncertain
1470,2,30,0,1,14,49,18,14,3,5,19,27,65,Uncertain
1471,2,17,0,0,5,37,23,8,0,3,14,17,43,Uncertain
1472,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1473,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1474,0,0,0,0,0,15,15,0,0,0,6,6,16,Trusted
1475,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1476,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1477,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1478,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1479,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
1480,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
1481,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1482,2,13,0,0,6,19,9,7,0,4,13,17,26,Trusted
1483,0,1,0,0,0,14,13,1,0,0,8,8,15,Uncertain
1484,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1485,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1486,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1487,2,22,1,2,21,30,7,13,7,3,18,28,55,Uncertain
1488,2,25,0,1,11,33,11,12,0,7,15,22,46,Uncertain
1489,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1490,0,10,0,0,2,29,21,6,0,0,15,15,32,Trusted
1491,2,0,0,0,2,8,8,0,0,0,6,6,11,Trusted
1492,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
1493,6,30,2,2,49,50,9,19,6,3,29,45,105,Uncertain
1494,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1495,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1496,2,40,1,2,29,49,4,20,4,6,19,32,82,Uncertain
1497,4,28,0,1,15,59,27,12,3,4,22,29,76,Trusted
1498,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
1499,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1500,2,18,0,0,5,26,11,6,0,3,8,11,32,Trusted
1501,0,1,0,0,0,5,4,1,0,0,2,2,6,Uncertain
1502,0,1,0,0,0,12,11,1,0,0,4,4,13,Trusted
1503,0,0,0,0,0,18,18,0,0,0,6,6,19,Trusted
1504,2,28,2,3,44,49,3,14,7,6,27,45,99,Uncertain
1505,0,0,0,0,0,10,10,0,0,0,4,4,11,Trusted
1506,0,3,2,3,38,50,10,2,7,3,27,42,94,Uncertain
1507,2,20,2,3,38,40,2,15,7,3,22,37,84,Uncertain
1508,6,40,0,2,25,52,12,20,5,7,23,35,80,Uncertain
1509,2,11,0,0,4,31,22,5,0,2,13,15,36,Trusted
1510,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1511,2,15,0,0,5,21,9,6,0,3,8,11,27,Trusted
1512,0,0,0,0,0,15,15,0,0,0,6,6,16,Trusted
1513,2,21,1,3,23,21,3,12,3,2,14,22,49,Uncertain
1514,4,18,0,1,15,27,8,7,3,3,13,19,44,Uncertain
1515,0,4,0,0,5,16,5,2,0,3,6,9,22,Uncertain
1516,2,12,0,0,5,11,2,6,0,3,5,8,17,Uncertain
1517,0,0,0,0,0,12,12,0,0,0,6,6,13,Trusted
1518,0,1,0,0,0,10,9,1,0,0,4,4,11,Uncertain
1519,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1520,0,0,0,0,0,10,10,0,0,0,9,9,11,Trusted
1521,6,35,0,3,22,40,13,16,3,7,22,32,66,Uncertain
1522,2,1,0,0,2,15,14,1,0,0,7,7,18,Uncertain
1523,2,12,0,0,5,13,4,6,0,3,6,9,19,Uncertain
1524,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
1525,2,1,0,0,2,9,8,1,0,0,5,5,12,Uncertain
