,"('act', '{<QualifiedName: collabmap:CompletionVerification>}')","('act', '{<QualifiedName: collabmap:RouteIdentification>}')","('act', '{<QualifiedName: collabmap:RouteVerification>}')","('ent', '{<QualifiedName: collabmap:Route>}')","('ent', '{<QualifiedName: collabmap:RouteSet>}')","('ent', '{<QualifiedName: collabmap:Vote>}')","[('der', 'gen'), ('der', 'usd'), (('ent', '{<QualifiedName: collabmap:Route>}'), ('ent', '{<QualifiedName: collabmap:Route>}'))]","[['der', 'der', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:CompletionVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')]]",label
1050,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1051,8,3,8,4,6,32,22,12,2,3,18,2,8,3,16,4,1,11,Uncertain
1052,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1053,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1054,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1055,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1056,15,4,15,5,9,67,52,25,0,4,42,2,15,4,33,1,1,19,Trusted
1057,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1058,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1059,10,3,10,4,4,39,25,19,1,3,25,2,10,3,23,2,3,13,Trusted
1060,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1061,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1062,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1063,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1064,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1065,7,2,7,3,3,26,16,13,1,2,16,2,7,2,16,3,1,9,Trusted
1066,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1067,3,1,4,2,2,13,8,6,1,1,7,2,3,1,8,3,1,4,Uncertain
1068,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1069,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1070,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1071,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1072,7,2,7,3,3,26,16,13,1,2,16,2,7,2,16,3,1,9,Trusted
1073,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1074,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1075,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1076,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1077,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1078,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1079,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1080,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1081,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1082,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1083,5,1,5,2,2,25,18,8,1,1,8,2,5,1,11,3,2,6,Trusted
1084,7,2,7,3,3,26,16,13,1,2,16,2,7,2,16,3,1,9,Trusted
1085,3,0,3,1,1,13,9,3,0,0,3,2,3,0,6,0,3,3,Trusted
1086,7,2,7,3,3,26,16,13,1,2,16,2,7,2,16,3,1,9,Trusted
1087,5,1,5,2,2,25,18,8,1,1,8,2,5,1,11,3,2,6,Trusted
1088,11,5,11,6,8,91,60,20,1,5,40,2,11,5,21,2,1,16,Trusted
1089,3,0,3,1,1,13,9,3,0,0,3,2,3,0,6,0,3,3,Trusted
1090,6,2,6,3,4,28,20,11,1,2,12,2,6,2,13,2,2,8,Trusted
1091,4,1,4,2,2,25,19,7,1,1,7,2,4,1,9,3,1,5,Trusted
1092,5,1,6,2,2,23,16,8,1,1,9,2,5,1,12,3,3,6,Trusted
1093,1,0,1,1,1,5,3,1,0,0,1,2,1,0,2,0,1,1,Trusted
1094,2,1,2,2,3,11,5,0,0,1,2,2,2,1,1,0,2,3,Uncertain
1095,6,1,6,2,2,17,9,9,1,1,8,2,6,1,13,3,3,7,Trusted
1096,11,2,11,3,4,61,48,17,1,2,25,2,11,2,24,3,3,13,Trusted
1097,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1098,4,1,4,2,2,11,5,7,1,1,5,2,4,1,9,1,3,5,Trusted
1099,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1100,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1101,7,2,7,3,3,32,22,13,1,2,15,2,7,2,16,2,2,9,Trusted
1102,6,1,6,2,2,23,15,9,1,1,9,2,6,1,13,3,3,7,Trusted
1103,6,2,6,3,3,25,16,12,1,2,10,2,6,2,14,2,3,8,Trusted
1104,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1105,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1106,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1107,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1108,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1109,6,1,6,2,2,23,15,9,1,1,9,2,6,1,13,3,3,7,Trusted
1110,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1111,8,2,8,3,4,41,31,14,1,2,14,2,8,2,18,5,3,10,Trusted
1112,6,2,6,3,3,23,14,12,1,2,14,2,6,2,14,2,1,8,Trusted
1113,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1114,8,4,8,5,6,46,34,20,1,4,24,2,8,4,20,1,1,12,Trusted
1115,4,1,4,2,2,21,15,7,1,1,7,2,4,1,9,3,1,5,Trusted
1116,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1117,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1118,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1119,8,3,8,4,4,42,30,17,1,3,22,2,8,3,19,3,1,11,Trusted
1120,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1121,7,2,7,3,5,29,21,12,2,2,10,2,7,2,15,3,4,9,Trusted
1122,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1123,6,1,6,2,2,23,15,9,1,1,9,2,6,1,13,3,3,7,Trusted
1124,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1125,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1126,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1127,5,1,5,2,2,14,7,8,1,1,7,2,5,1,11,2,3,6,Trusted
1128,14,3,14,4,8,64,51,23,3,3,30,1,14,3,31,13,1,17,Trusted
1129,3,1,3,2,2,10,5,6,1,1,5,2,3,1,7,2,1,4,Trusted
1130,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1131,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1132,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1133,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1134,6,1,6,2,2,23,15,9,1,1,9,2,6,1,13,3,3,7,Trusted
1135,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1136,6,1,6,2,2,23,15,9,1,1,9,2,6,1,13,3,3,7,Trusted
1137,7,2,7,3,3,24,14,13,1,2,14,2,7,2,16,1,3,9,Trusted
1138,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1139,7,2,7,3,3,24,14,13,1,2,14,2,7,2,16,1,3,9,Trusted
1140,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1141,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1142,6,2,6,3,3,20,11,12,1,2,11,2,6,2,14,3,2,8,Trusted
1143,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1144,2,0,2,1,1,9,6,2,0,0,2,2,2,0,4,0,2,2,Trusted
1145,5,1,5,2,2,20,13,8,1,1,8,2,5,1,11,3,2,6,Trusted
1146,6,1,6,2,5,34,29,8,1,1,12,2,6,1,12,5,1,7,Trusted
1147,6,1,6,2,2,17,9,9,1,1,9,2,6,1,13,3,3,7,Trusted
1148,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1149,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1150,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1151,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1152,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1153,4,1,4,2,2,11,5,7,1,1,5,2,4,1,9,1,3,5,Trusted
1154,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1155,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1156,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1157,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1158,9,3,9,4,4,37,24,18,1,3,24,2,9,3,21,2,2,12,Trusted
1159,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1160,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1161,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1162,4,1,4,2,2,12,6,7,1,1,6,2,4,1,9,2,2,5,Trusted
1163,5,2,5,3,3,15,7,11,1,2,7,2,5,2,12,2,3,7,Trusted
1164,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1165,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1166,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1167,5,2,5,3,3,18,10,11,1,2,10,2,5,2,12,1,2,7,Trusted
1168,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1169,3,0,3,1,1,13,9,3,0,0,3,2,3,0,6,0,3,3,Trusted
1170,6,4,6,5,6,45,35,18,1,4,16,2,6,4,16,1,1,10,Trusted
1171,12,4,12,5,7,58,23,8,2,4,18,2,12,4,12,6,6,16,Trusted
1172,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1173,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1174,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1175,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1176,8,0,8,1,5,29,24,7,0,0,10,2,8,0,15,0,8,8,Trusted
1177,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1178,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1179,6,1,6,2,2,23,15,9,1,1,9,2,6,1,13,3,3,7,Trusted
1180,3,1,3,2,2,12,7,6,1,1,4,2,3,1,7,1,2,4,Trusted
1181,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1182,10,3,10,4,5,32,19,19,2,3,18,2,10,3,23,7,3,13,Trusted
1183,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1184,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1185,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1186,7,1,7,2,3,22,14,9,1,1,12,2,7,1,14,5,2,8,Trusted
1187,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1188,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1189,5,1,5,2,2,20,13,8,1,1,8,2,5,1,11,3,2,6,Trusted
1190,3,0,3,1,2,11,8,3,0,0,3,2,3,0,6,0,3,3,Trusted
1191,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1192,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1193,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1194,5,1,5,2,3,18,12,8,1,1,5,2,5,1,11,0,5,6,Trusted
1195,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1196,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1197,12,3,12,4,8,61,49,19,1,3,30,2,12,3,25,5,1,15,Trusted
1198,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1199,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1200,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1201,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1202,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1203,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1204,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1205,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1206,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1207,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1208,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1209,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1210,7,3,7,4,5,42,32,12,2,3,16,2,7,3,15,3,1,10,Trusted
1211,12,2,12,3,6,48,36,17,1,2,31,2,12,2,25,4,1,14,Trusted
1212,3,0,3,1,1,19,15,3,0,0,3,2,3,0,6,0,3,3,Trusted
1213,7,2,7,3,3,38,28,13,1,2,14,2,7,2,16,1,3,9,Trusted
1214,3,0,3,1,1,19,15,3,0,0,3,2,3,0,6,0,3,3,Trusted
1215,1,0,1,1,1,5,3,1,0,0,1,2,1,0,2,0,1,1,Trusted
1216,6,0,6,1,4,34,30,3,0,0,6,2,6,0,9,0,6,6,Uncertain
1217,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1218,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1219,1,0,1,1,1,5,3,1,0,0,1,2,1,0,2,0,1,1,Trusted
1220,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1221,8,2,8,3,5,45,36,14,2,2,11,2,8,2,18,3,5,10,Trusted
1222,5,1,5,2,2,25,18,8,1,1,8,2,5,1,11,3,2,6,Trusted
1223,2,0,2,1,1,13,10,2,0,0,2,2,2,0,4,0,2,2,Trusted
1224,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,Uncertain
1225,1,0,1,1,1,5,3,1,0,0,1,2,1,0,2,0,1,1,Trusted
1226,1,0,1,1,1,3,1,1,0,0,1,2,1,0,2,0,1,1,Trusted
1227,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1228,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1229,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1230,3,2,3,3,3,12,6,9,1,2,6,2,3,2,8,1,1,5,Trusted
1231,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1232,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1233,7,3,8,4,6,29,16,6,2,3,16,2,7,3,10,7,1,10,Uncertain
1234,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1235,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1236,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1237,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1238,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1239,5,1,6,2,3,20,14,7,1,1,11,2,5,1,11,5,1,6,Uncertain
1240,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1241,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1242,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,Uncertain
1243,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1244,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1245,6,1,6,2,3,20,13,8,1,1,11,2,6,1,12,5,1,7,Trusted
1246,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1247,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1248,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1249,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1250,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1251,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1252,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1253,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1254,7,1,7,2,4,29,22,10,1,1,13,2,7,1,15,4,3,8,Trusted
1255,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1256,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1257,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1258,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1259,4,2,4,3,4,32,26,10,1,2,5,2,4,2,10,1,3,6,Trusted
1260,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1261,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1262,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1263,10,4,10,5,8,36,18,16,3,4,20,2,10,4,18,8,2,14,Trusted
1264,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1265,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1266,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1267,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1268,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1269,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1270,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1271,5,2,5,3,3,16,8,11,1,2,8,2,5,2,12,3,2,7,Trusted
1272,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1273,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1274,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1275,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1276,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1277,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1278,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1279,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1280,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1281,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1282,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1283,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1284,13,5,13,6,8,75,58,28,1,5,54,2,13,5,31,1,1,18,Trusted
1285,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1286,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1287,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1288,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1289,4,0,5,1,1,11,6,4,0,0,5,2,4,0,9,0,5,4,Trusted
1290,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1291,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1292,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1293,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1294,1,0,1,1,1,3,1,1,0,0,1,2,1,0,2,0,1,1,Trusted
1295,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1296,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1297,11,6,12,7,9,46,21,19,3,6,26,2,11,6,19,9,1,17,Trusted
1298,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1299,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1300,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1301,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1302,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1303,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1304,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1305,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1306,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1307,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1308,1,0,1,1,1,3,1,1,0,0,1,2,1,0,2,0,1,1,Trusted
1309,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1310,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1311,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1312,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1313,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1314,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1315,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1316,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1317,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1318,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1319,0,0,1,1,1,3,2,0,0,0,1,2,0,0,1,0,1,0,Uncertain
1320,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1321,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1322,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1323,5,1,5,2,2,15,8,8,1,1,8,2,5,1,11,3,2,6,Trusted
1324,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1325,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1326,2,0,2,1,1,5,2,2,0,0,2,2,2,0,4,0,2,2,Trusted
1327,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1328,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1329,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1330,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1331,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1332,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1333,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
1334,4,2,5,3,3,14,7,10,1,2,6,2,4,2,11,1,4,6,Trusted
1335,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1336,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1337,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1338,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1339,5,0,5,1,1,11,5,5,0,0,5,2,5,0,10,0,5,5,Trusted
1340,0,0,1,1,1,3,2,0,0,0,1,2,0,0,1,0,1,0,Uncertain
1341,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
1342,5,2,5,3,3,15,7,11,1,2,7,2,5,2,12,2,3,7,Trusted
1343,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
