,"('act', '{<QualifiedName: pgo:BallCollection>}')","('act', '{<QualifiedName: pgo:PokemonCapture>}')","('act', '{<QualifiedName: pgo:PokemonDispose>}')","('ent', '{<QualifiedName: pgo:Player>}')","('ent', '{<QualifiedName: pgo:PokemonNormal>}')","('ent', '{<QualifiedName: pgo:PokemonWeak>}')","('ent', '{<QualifiedName: pgo:Pokestop>}')","[('der', 'der'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonNormal>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonNormal>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[('gen', 'gen'), ('usd', 'usd'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[['der', 'der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['der', 'der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', ('act', '{<QualifiedName: pgo:BallCollection>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', ('act', '{<QualifiedName: pgo:BallCollection>}')], ['der', ('ent', '{<QualifiedName: pgo:Pokestop>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['inv', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['inv', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]",label
104,18,8,3,30,6,4,25,0,0,0,0,0,0,0,0,1,0,2,8,4,6,13,23,0,1,4,2,0,1,3,3,2,6,3,3,9,2,0,9,Instinct
105,6,4,0,11,4,2,9,2,2,0,2,2,0,2,1,1,0,0,0,0,2,3,9,2,2,2,0,0,0,0,2,0,2,0,1,4,2,0,2,Mystic
106,8,7,2,18,2,4,12,2,0,0,0,2,0,0,0,1,1,3,5,2,2,3,13,0,1,2,2,1,0,2,1,1,2,1,2,3,0,1,5,Mystic
107,6,2,0,9,4,0,9,2,0,0,0,2,0,2,0,0,0,0,2,0,2,4,8,3,0,1,0,0,0,0,2,0,1,1,0,4,1,0,2,Mystic
108,9,8,3,21,6,6,15,0,0,0,2,4,0,0,0,1,0,1,6,4,2,6,12,0,2,4,3,1,0,3,3,2,5,1,4,4,4,0,5,Mystic
109,3,2,0,6,4,0,6,0,2,0,0,4,0,2,0,1,0,0,0,0,0,0,6,3,0,1,0,0,0,0,2,0,1,1,0,2,1,0,1,Valor
110,9,8,0,18,6,6,15,2,2,0,4,4,2,0,0,1,0,0,4,2,2,6,12,3,1,3,5,0,0,0,3,2,5,2,2,4,1,1,5,Valor
111,8,14,10,33,8,14,14,0,0,2,0,2,6,2,2,1,0,2,5,10,2,6,10,0,4,4,6,2,2,10,4,5,1,4,5,5,4,6,3,Mystic
112,5,5,0,11,6,4,10,0,4,0,2,6,2,0,0,0,0,0,0,0,0,3,7,3,1,3,3,0,0,0,3,2,3,2,0,4,1,2,1,Mystic
113,11,10,5,27,10,4,14,2,2,0,0,2,2,2,0,0,0,0,2,4,0,8,14,4,0,2,3,1,0,5,5,1,2,6,0,6,3,3,5,Instinct
114,4,5,0,10,0,8,8,0,0,2,6,0,2,0,0,0,0,0,0,0,0,3,5,0,2,0,6,0,0,0,0,3,3,0,1,4,0,3,0,Instinct
115,11,7,0,19,2,8,17,0,2,2,2,0,6,0,0,1,0,0,4,2,2,6,16,2,3,0,5,0,0,0,1,4,5,1,1,6,0,3,5,Valor
116,10,8,3,22,6,8,14,0,2,0,0,0,4,0,0,1,0,0,4,4,0,6,14,4,1,2,4,1,2,3,1,5,3,2,5,5,1,2,5,Instinct
117,7,5,0,13,2,6,13,0,0,0,4,2,2,0,0,0,0,0,0,2,0,6,8,2,2,0,4,0,0,0,1,3,4,1,1,4,0,2,3,Valor
118,6,4,0,11,4,4,10,2,0,0,2,4,2,2,0,1,0,0,2,2,0,3,9,1,3,3,1,0,0,0,2,2,2,1,1,4,1,1,2,Instinct
119,6,7,3,17,2,8,10,0,0,0,2,0,0,0,0,1,0,4,2,6,4,3,9,0,2,2,3,1,2,3,0,4,2,0,5,2,1,2,4,Instinct
120,7,4,0,12,4,2,13,0,2,0,2,2,2,2,0,1,0,0,2,0,0,4,10,3,0,1,2,0,0,0,2,1,5,1,1,4,1,0,3,Instinct
121,6,4,0,11,0,4,8,2,0,0,0,0,2,2,0,1,0,2,2,4,0,3,9,0,3,0,1,0,0,0,0,2,1,0,1,4,0,1,2,Instinct
122,9,5,1,16,4,2,13,2,0,0,0,0,0,0,0,1,1,2,3,2,0,5,13,0,0,4,1,1,0,1,1,1,2,1,1,4,1,1,5,Mystic
123,8,8,3,20,2,8,13,0,2,0,0,0,4,2,0,0,0,3,2,4,0,5,11,1,1,0,6,0,1,3,2,4,3,1,2,5,1,3,3,Mystic
124,9,10,6,26,6,10,13,2,0,0,2,0,4,0,0,0,1,2,4,6,2,5,13,1,2,4,3,1,4,6,2,6,3,1,5,5,3,5,4,Instinct
125,6,10,0,17,8,6,11,0,4,0,0,0,4,2,0,1,0,0,2,2,0,4,8,2,2,6,4,0,0,0,4,3,3,2,1,2,2,2,4,Valor
126,15,8,3,27,8,4,22,0,0,0,0,6,0,2,0,0,0,2,9,4,2,11,19,4,0,3,2,0,2,3,3,3,5,4,1,8,1,3,7,Instinct
127,5,3,0,9,2,4,9,0,2,0,0,0,2,0,0,1,0,0,2,2,0,3,7,1,3,1,1,0,0,0,1,1,3,0,1,4,1,1,1,Mystic
128,7,8,0,16,10,4,12,0,0,0,2,4,2,0,0,1,0,0,2,0,2,3,11,3,2,7,2,0,0,0,4,2,3,2,2,2,3,0,5,Valor
129,4,4,0,9,0,8,6,2,0,2,2,0,2,2,0,1,0,2,0,4,0,3,5,0,4,0,4,0,0,0,0,3,1,0,2,3,0,2,1,Mystic
130,8,6,0,15,2,6,12,2,2,0,2,0,4,0,0,0,0,0,0,4,0,4,12,0,3,2,3,0,0,0,0,2,3,0,2,4,1,1,4,Valor
131,16,12,7,36,10,8,21,0,0,0,2,2,2,2,1,0,0,2,7,4,0,18,14,4,1,3,3,2,2,7,6,7,4,6,4,8,2,4,8,Instinct
132,8,5,0,14,4,6,13,0,0,2,4,2,2,0,1,0,0,0,4,0,2,6,10,0,3,4,3,0,0,0,2,2,4,1,1,4,1,2,4,Valor
133,7,7,2,17,6,6,11,0,0,0,2,2,0,2,0,1,0,2,2,4,2,3,11,3,1,2,4,1,0,2,2,3,3,4,2,2,0,2,5,Mystic
134,6,6,1,14,6,4,11,0,2,0,2,2,2,0,0,1,1,0,1,2,0,2,10,2,1,4,2,1,0,1,1,2,3,2,2,2,1,1,4,Instinct
135,7,8,3,19,6,8,12,2,2,4,2,4,2,2,1,1,0,1,3,2,2,5,9,3,1,3,4,1,2,3,2,4,3,2,3,4,1,4,3,Instinct
136,13,8,0,22,10,6,19,2,6,2,0,4,4,0,0,1,0,0,4,2,2,8,18,3,3,7,3,0,0,0,4,3,5,3,2,7,2,1,6,Valor
137,5,5,0,11,8,2,7,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,7,3,1,5,1,0,0,0,3,1,1,2,0,4,2,1,1,Valor
138,2,2,0,5,2,2,4,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,4,2,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,Instinct
139,10,8,4,23,10,4,17,0,4,0,2,4,2,2,0,1,0,0,7,2,4,6,14,1,1,6,2,1,0,4,4,2,6,3,2,6,5,1,4,Mystic
140,9,9,0,19,6,8,15,0,2,0,2,4,2,2,0,1,0,2,2,2,2,6,12,0,4,6,4,0,0,0,2,4,4,2,3,4,1,1,5,Valor
141,4,3,0,8,4,2,7,2,0,0,0,0,2,0,0,1,0,0,0,0,0,3,5,3,1,1,1,0,0,0,2,1,1,1,0,3,1,1,1,Mystic
142,7,6,0,14,6,2,11,2,0,0,2,4,0,0,0,0,0,0,2,0,0,4,10,3,0,3,2,0,0,0,3,1,2,1,1,3,2,0,4,Valor
143,5,5,1,12,6,2,9,2,2,0,2,2,0,0,0,1,0,1,0,0,2,2,8,3,0,3,1,0,1,1,3,1,3,2,1,3,1,1,2,Instinct
144,6,4,0,11,4,2,10,2,2,0,2,4,0,2,1,1,0,0,0,0,0,3,9,1,2,3,0,0,0,0,2,0,2,1,1,4,1,0,2,Mystic
145,7,7,2,17,4,2,13,0,2,0,0,2,2,2,0,1,1,0,1,0,0,3,11,2,0,1,1,0,1,2,2,1,4,3,1,2,0,1,5,Instinct
146,9,13,8,31,8,12,16,0,2,0,4,2,4,2,0,0,0,3,5,6,2,7,11,2,3,2,6,1,2,8,4,3,5,5,4,5,3,5,4,Mystic
147,9,6,0,16,4,6,13,2,0,0,4,0,4,0,0,0,1,0,0,0,0,4,14,0,4,4,2,0,0,0,2,2,2,1,2,4,1,1,5,Valor
148,10,9,0,20,4,14,16,0,0,4,6,2,8,2,0,1,0,0,2,2,0,6,14,0,6,4,8,0,0,0,1,7,4,1,5,5,1,2,5,Valor
149,7,7,2,17,2,10,12,0,0,4,4,2,2,2,0,1,0,1,4,2,2,3,11,0,2,2,6,2,0,2,1,5,4,0,5,2,1,2,5,Mystic
150,10,6,0,17,2,2,15,2,0,0,0,2,2,2,0,1,0,0,6,0,0,6,14,1,1,1,1,0,0,0,1,1,4,0,1,6,1,0,4,Valor
151,8,8,3,20,0,12,13,0,0,0,2,0,2,0,0,0,0,5,4,10,0,8,8,0,4,0,7,0,1,3,0,4,3,0,5,5,0,2,3,Mystic
152,8,6,2,17,8,0,14,0,6,0,0,4,0,2,0,0,0,0,3,0,2,6,10,1,0,5,0,0,0,2,4,0,4,3,0,5,3,0,3,Instinct
153,7,8,3,19,4,4,12,0,2,0,0,0,2,0,1,0,0,1,1,2,2,7,7,0,2,3,0,1,1,3,2,2,3,2,1,5,1,3,2,Instinct
154,6,6,2,15,4,4,11,0,0,0,2,4,0,2,1,0,0,1,3,0,4,6,6,2,1,2,1,0,2,2,2,2,2,0,3,4,2,1,2,Instinct
155,8,4,0,13,4,4,13,0,2,2,0,2,2,2,0,1,0,0,4,2,0,7,9,0,3,4,1,0,0,0,2,2,4,1,0,5,1,2,3,Instinct
156,7,5,0,13,4,4,12,0,2,0,2,2,2,2,0,1,0,0,2,0,0,7,7,2,0,2,4,0,0,0,1,2,4,0,2,4,2,0,3,Mystic
157,5,5,0,11,6,2,8,2,2,0,0,2,2,2,0,1,0,0,2,2,0,4,6,1,2,5,0,0,0,0,2,1,2,2,1,2,1,0,3,Mystic
158,9,7,2,19,4,6,14,0,2,0,0,2,2,2,0,0,0,1,4,4,0,6,12,0,2,4,2,1,1,2,2,3,4,1,4,5,1,1,4,Instinct
159,9,11,6,27,8,10,15,2,2,0,4,4,2,0,0,0,0,4,1,6,2,4,14,2,2,5,3,2,3,6,4,5,3,5,4,4,0,6,5,Instinct
160,5,8,3,17,10,6,8,0,0,0,2,2,0,0,0,0,0,1,0,2,2,7,3,2,2,7,2,0,2,3,3,3,1,3,1,4,3,4,1,Mystic
161,8,6,0,15,8,4,13,0,2,0,4,6,0,2,1,1,0,0,0,0,0,6,10,3,0,5,4,0,0,0,4,1,4,2,0,5,2,2,3,Valor
162,9,5,1,16,4,4,15,0,0,0,2,4,2,0,1,0,0,0,3,2,2,10,8,2,1,2,2,0,1,1,2,2,3,0,1,6,2,2,3,Instinct
163,10,7,2,20,6,6,17,0,2,2,2,2,4,2,1,0,0,0,3,0,2,6,14,2,2,4,2,1,1,2,1,3,5,3,2,5,0,3,5,Mystic
164,9,8,0,18,8,6,16,0,8,0,0,4,6,2,0,1,0,0,2,2,0,6,12,2,2,6,4,0,0,0,3,3,5,1,1,6,3,2,3,Valor
165,7,6,1,15,4,4,12,0,0,0,0,0,4,0,0,0,0,0,4,0,2,8,6,2,0,2,3,1,0,1,1,2,4,1,1,5,1,2,2,Mystic
166,4,7,2,14,4,6,7,0,2,0,0,0,2,2,0,0,0,0,0,2,2,4,4,0,3,3,2,1,0,2,2,2,2,2,2,2,1,2,2,Mystic
167,6,7,3,17,6,6,12,0,2,0,2,2,6,0,1,0,0,0,1,0,2,7,5,2,1,4,2,0,3,3,1,3,3,2,1,5,1,5,1,Instinct
168,5,0,0,6,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,Valor
169,7,9,4,21,2,12,12,0,2,2,2,0,2,2,1,0,0,2,1,6,4,5,9,0,4,2,4,1,3,4,0,5,3,1,4,4,0,6,3,Instinct
170,7,6,1,15,6,4,12,0,2,2,0,6,2,0,0,0,0,0,4,2,0,8,6,1,1,4,3,0,0,1,3,2,4,2,0,5,2,2,2,Mystic
171,9,6,0,16,2,8,14,2,0,2,4,2,4,2,1,1,0,0,2,2,2,6,12,1,2,1,6,0,0,0,1,3,3,0,1,6,1,3,3,Valor
172,8,8,4,21,2,6,12,0,0,2,2,0,2,2,1,0,1,0,1,0,2,5,11,0,1,2,2,2,1,4,0,4,1,1,4,4,0,2,4,Mystic
173,12,13,8,34,4,8,21,0,0,2,4,4,2,0,0,1,1,2,6,2,2,6,18,2,2,1,3,1,2,8,2,3,6,3,5,6,0,2,6,Mystic
174,11,8,4,24,8,6,18,0,4,0,0,4,2,2,1,0,0,3,3,6,4,8,14,0,2,7,1,1,2,4,4,4,4,4,2,5,1,4,6,Instinct
175,7,7,3,18,2,6,13,0,2,0,2,0,4,0,0,0,0,0,0,2,4,7,7,1,1,1,2,0,3,3,1,3,4,0,2,5,1,4,2,Instinct
176,8,5,1,15,4,4,14,0,0,0,4,2,4,0,0,0,0,0,4,0,2,9,7,2,0,2,3,0,1,1,1,2,5,1,0,6,1,3,2,Instinct
177,9,6,1,17,2,2,13,0,0,0,0,0,0,0,0,0,0,0,5,2,0,10,8,0,1,2,1,0,0,1,1,0,2,0,1,6,1,0,3,Mystic
178,5,7,2,15,4,8,9,0,2,2,0,2,2,2,0,0,1,1,1,4,0,4,6,2,2,2,4,1,1,2,1,3,2,0,4,3,2,2,2,Instinct
179,7,5,0,13,6,2,12,2,2,0,2,4,0,2,0,1,0,0,2,0,0,7,7,3,0,3,2,0,0,0,3,1,4,1,0,4,2,1,3,Valor
180,5,5,0,11,2,4,9,0,0,2,2,2,2,2,0,1,0,0,2,0,0,4,6,0,0,2,4,0,0,0,1,2,2,0,2,2,1,0,3,Instinct
181,5,2,0,8,2,0,8,0,0,0,0,2,0,2,0,1,0,0,2,0,0,4,6,1,0,1,0,0,0,0,1,0,2,1,0,2,0,0,3,Instinct
182,13,12,0,26,12,4,18,0,0,0,2,6,2,2,0,1,0,0,6,0,0,9,17,5,2,7,2,0,0,0,6,2,4,2,2,6,4,0,7,Valor
183,5,5,0,11,4,6,8,0,2,2,0,2,2,2,0,1,0,0,0,0,0,4,6,0,3,4,3,0,0,0,2,2,1,2,2,2,0,1,3,Valor
184,8,8,3,20,4,6,13,2,2,0,0,2,2,2,0,1,1,1,5,6,0,6,10,0,1,4,2,1,2,3,1,3,3,0,5,5,2,1,3,Instinct
185,5,7,3,16,2,6,8,0,0,0,2,0,0,2,0,1,0,2,3,4,0,3,7,1,3,0,2,0,1,3,1,2,2,1,1,2,1,3,3,Mystic
186,9,6,1,17,6,4,14,0,2,0,0,4,0,2,0,1,0,3,4,2,2,6,12,1,2,5,1,0,1,1,3,2,3,0,2,6,3,1,3,Instinct
187,9,6,1,17,2,8,13,0,2,0,2,2,2,2,0,1,0,4,2,4,0,6,12,0,2,2,5,0,1,1,1,4,3,0,2,6,1,3,3,Mystic
188,6,4,0,11,6,0,10,2,0,0,0,4,0,2,0,1,0,0,0,0,0,6,6,1,0,5,0,0,0,0,3,0,2,2,0,3,1,0,3,Instinct
189,7,7,0,15,2,6,12,0,0,0,4,2,2,2,0,1,0,0,4,2,0,6,8,1,2,1,4,0,0,0,1,2,4,0,2,4,1,1,3,Valor
190,9,6,1,17,6,4,14,2,0,0,2,0,2,2,0,1,0,0,2,0,4,6,12,2,0,4,3,1,0,1,2,1,4,1,1,6,2,2,3,Instinct
191,12,9,5,27,8,6,20,0,2,0,2,4,2,2,2,1,0,1,6,4,4,9,15,0,1,6,2,1,2,5,4,3,5,3,3,6,3,3,6,Instinct
192,14,8,4,27,4,6,21,0,0,2,0,2,2,2,0,1,0,1,9,2,2,9,19,1,0,2,5,0,1,4,1,2,6,0,3,7,3,1,7,Mystic
193,6,6,2,15,6,6,10,2,2,0,2,4,0,2,0,1,0,2,2,4,2,5,7,0,4,5,1,0,1,2,3,2,3,3,1,3,1,3,3,Mystic
194,9,5,0,15,6,0,15,0,4,0,0,2,0,2,0,1,0,0,2,0,0,6,12,2,0,4,0,0,0,0,1,0,5,1,0,6,2,0,3,Valor
195,7,8,3,19,4,8,14,0,2,0,8,2,4,2,0,1,0,1,0,0,2,6,8,2,1,1,5,0,2,3,2,4,5,2,4,4,1,2,3,Mystic
196,11,8,3,23,4,10,18,2,0,0,4,2,6,2,1,1,0,1,5,6,2,7,15,2,1,1,7,1,1,3,1,4,5,2,3,6,1,4,5,Mystic
197,4,3,0,8,2,4,7,2,0,0,2,0,2,2,0,1,0,0,0,2,0,4,4,1,2,1,2,0,0,0,0,2,2,1,1,2,0,1,2,Instinct
198,10,13,0,24,10,14,16,2,0,4,6,6,2,2,0,1,0,0,4,4,2,6,14,3,7,7,7,0,0,0,5,6,5,2,3,6,3,4,4,Valor
199,4,3,0,8,2,2,8,0,0,0,2,2,0,2,0,1,0,0,0,0,0,4,4,1,2,1,0,0,0,0,1,1,2,1,1,2,0,0,2,Mystic
200,9,9,4,23,10,8,15,0,4,0,2,6,2,2,1,1,1,1,3,6,2,6,12,2,2,6,4,2,0,4,5,2,4,3,3,6,4,3,3,Mystic
201,9,4,0,14,4,4,14,2,2,0,2,2,4,2,0,1,0,0,4,0,2,6,12,0,3,4,1,0,0,0,2,2,4,0,0,6,2,2,3,Valor
202,6,9,4,20,6,10,12,0,0,0,4,2,4,2,0,1,2,1,2,4,0,5,7,0,3,5,4,0,3,4,2,4,2,3,5,3,1,3,3,Mystic
203,5,6,1,13,2,4,10,0,0,0,4,2,0,2,0,1,0,1,0,0,0,4,6,0,1,2,2,1,0,1,1,2,3,1,1,2,0,2,3,Instinct
204,10,9,0,20,4,8,17,0,2,2,4,4,2,2,0,1,0,0,4,2,0,6,14,1,3,3,5,0,0,0,2,4,6,1,3,6,1,1,4,Valor
205,9,6,1,17,6,2,14,2,0,0,2,2,0,2,0,1,0,0,2,0,4,6,12,2,1,4,1,0,0,1,1,1,4,1,0,6,2,1,3,Mystic
206,11,7,0,19,6,4,18,2,2,0,0,4,4,2,0,1,0,0,6,2,2,7,15,1,2,5,2,0,0,0,3,2,5,2,0,6,1,2,5,Valor
207,7,3,0,11,2,2,11,2,0,0,2,2,2,2,0,1,0,0,0,0,0,7,7,0,0,2,2,0,0,0,1,1,2,1,0,4,0,1,3,Mystic
208,6,6,1,14,2,6,10,0,2,2,2,0,2,2,0,1,0,1,0,2,2,5,7,0,1,2,4,0,1,1,0,3,3,1,1,3,0,3,3,Instinct
209,7,10,5,23,2,10,11,0,0,0,4,0,4,2,1,1,1,2,1,4,0,6,8,2,1,0,6,1,2,5,0,2,2,1,2,4,0,6,3,Mystic
210,9,5,1,16,10,0,16,0,4,0,0,6,0,0,0,0,0,0,3,0,2,6,12,3,0,6,0,0,0,1,5,0,5,2,0,5,4,0,4,Instinct
211,6,3,0,10,2,2,10,0,0,0,2,2,2,0,0,1,0,0,0,0,2,3,9,1,2,1,0,0,0,0,1,1,2,0,1,5,1,0,1,Valor
212,5,6,1,13,4,6,10,0,2,0,2,2,2,0,0,0,0,0,1,2,0,2,8,1,4,3,2,0,0,1,2,2,3,1,2,3,1,1,2,Mystic
213,13,10,5,29,8,8,18,2,0,0,0,4,2,2,0,0,0,5,6,8,0,10,16,0,3,4,5,0,0,5,7,3,4,4,3,6,4,1,7,Mystic
214,5,2,0,8,0,2,9,2,0,0,0,0,2,2,0,0,0,0,0,2,0,4,6,0,1,0,1,0,0,0,0,1,2,0,0,3,0,1,2,Instinct
215,7,4,0,12,0,4,11,2,0,0,2,0,2,2,0,1,0,0,4,2,0,4,10,0,2,0,2,0,0,0,0,2,3,0,0,4,0,2,3,Instinct
216,4,3,0,8,2,2,7,0,0,0,2,0,0,0,0,1,0,0,2,0,2,3,5,1,1,1,1,0,0,0,1,0,2,0,0,3,1,1,1,Valor
217,7,6,1,15,4,6,14,0,2,2,2,0,4,0,0,0,0,0,1,0,0,4,10,4,0,0,6,0,0,1,1,3,5,2,1,3,0,2,4,Mystic
218,3,3,0,7,2,2,6,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,4,0,1,2,1,0,0,0,1,1,1,0,0,3,1,1,0,Mystic
219,7,9,4,21,12,2,12,0,2,0,0,4,2,2,0,1,0,0,2,2,0,4,10,2,2,7,0,0,0,4,7,1,3,7,1,2,2,0,5,Mystic
220,6,8,3,18,6,6,9,2,0,0,0,0,2,0,0,1,0,1,4,2,0,3,9,2,0,3,5,0,1,3,3,1,2,4,2,2,0,2,4,Mystic
221,16,9,4,30,8,8,24,2,2,0,2,6,4,2,0,1,2,1,6,4,4,11,21,1,2,7,2,1,3,4,4,4,4,2,7,7,2,1,9,Instinct
222,7,12,7,27,6,8,9,0,0,0,0,2,0,2,0,1,0,4,2,8,0,3,11,2,2,1,3,0,3,7,4,4,1,3,3,5,3,4,2,Instinct
223,7,7,0,15,6,6,13,0,2,0,4,4,2,0,0,1,1,0,0,2,0,3,11,0,5,6,1,0,0,0,3,2,4,1,3,3,2,0,4,Valor
224,9,6,2,18,6,6,15,2,0,0,2,4,2,0,0,0,1,1,5,4,2,4,14,1,2,4,3,1,0,2,3,2,4,2,3,4,2,1,5,Mystic
225,7,6,1,15,4,6,11,0,4,0,0,2,2,0,0,0,0,1,2,4,0,4,10,0,4,4,2,0,0,1,1,1,3,1,2,3,1,1,4,Mystic
226,10,8,3,22,2,10,16,2,0,2,4,2,6,0,0,1,0,0,3,4,0,6,14,0,2,1,6,1,1,3,1,5,4,1,4,5,1,3,5,Mystic
227,3,6,1,11,2,6,6,0,0,2,2,2,2,0,0,0,0,0,1,0,0,1,5,1,2,1,4,0,0,1,1,3,1,0,2,3,1,1,0,Mystic
228,7,8,0,16,8,4,13,0,4,0,0,2,4,0,0,1,0,0,2,0,0,3,11,3,2,5,2,0,0,0,4,2,4,3,2,2,1,0,5,Valor
229,9,9,5,24,12,4,15,0,2,0,4,6,0,2,0,1,0,1,2,0,2,6,12,2,1,7,1,1,1,5,6,2,5,5,2,4,4,2,5,Instinct
230,7,5,0,13,4,4,12,0,4,0,2,4,2,0,0,0,1,0,0,0,0,6,8,3,0,1,4,0,0,0,2,1,4,1,1,4,1,1,3,Valor
231,5,9,4,19,6,12,10,0,2,0,4,2,4,2,0,1,0,2,1,6,2,3,7,2,2,2,8,1,1,4,2,4,3,3,6,1,2,2,4,Mystic
232,7,5,0,13,2,4,13,0,2,2,0,0,2,0,0,0,0,0,0,0,0,6,8,1,0,1,4,0,0,0,1,2,4,0,1,4,1,1,3,Mystic
233,9,7,0,17,10,4,16,2,2,0,4,4,4,0,0,1,0,0,2,0,2,4,14,4,2,6,2,0,0,0,5,2,5,3,1,4,2,1,5,Valor
234,10,9,4,24,4,10,15,2,4,4,0,0,2,2,0,1,1,1,1,6,2,6,14,1,3,3,4,2,1,4,0,4,2,1,4,5,1,4,5,Mystic
235,6,8,0,15,10,4,11,0,2,0,0,2,4,0,0,1,0,0,2,0,0,3,9,5,1,5,3,0,0,0,5,2,3,2,2,2,3,0,4,Valor
236,7,6,2,16,8,4,13,0,4,0,0,2,2,0,0,0,0,1,2,2,2,4,10,3,1,5,1,1,1,2,3,2,4,1,3,3,3,1,4,Instinct
237,4,7,0,12,6,8,7,0,2,0,2,4,0,0,0,1,1,0,0,2,0,1,7,5,2,1,6,0,0,0,3,2,2,2,2,2,1,2,2,Valor
