,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
980,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
981,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
982,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
983,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
984,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
985,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
986,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
987,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
988,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
989,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
990,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
991,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
992,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
993,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
994,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
995,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
996,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
997,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
998,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
999,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1000,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1001,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1002,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1003,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1004,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1005,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1006,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1007,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1008,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1009,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1010,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1011,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1012,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1013,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1014,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1015,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1016,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1017,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1018,2,10,0,1,1,10,9,1,3,7,0,2,2,9,13,23,Trusted
1019,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1020,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1021,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1022,2,12,0,1,1,11,10,1,3,9,0,2,3,10,15,25,Trusted
1023,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1024,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1025,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1026,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1027,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1028,2,12,0,0,1,16,12,1,3,10,0,5,2,11,18,31,Trusted
1029,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1030,2,7,0,0,1,5,6,1,3,5,0,0,2,6,8,14,Trusted
1031,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1032,2,11,1,1,1,12,10,1,3,7,1,1,2,10,14,27,Trusted
1033,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1034,2,8,0,0,0,6,7,1,3,7,0,0,4,6,10,15,Trusted
1035,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1036,2,12,0,0,1,12,10,1,3,10,0,3,3,10,16,25,Trusted
1037,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1038,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1039,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1040,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1041,2,10,0,0,0,7,8,1,3,10,0,0,5,8,13,17,Trusted
1042,2,12,0,0,1,12,12,1,5,10,0,3,3,12,18,27,Trusted
1043,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1044,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1045,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1046,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1047,2,7,0,0,1,5,6,1,3,5,0,0,2,6,8,14,Trusted
1048,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1049,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1050,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1051,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1052,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1053,2,12,0,1,1,20,12,1,3,9,3,3,1,12,19,36,Trusted
1054,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1055,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
1056,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1057,2,13,0,1,1,19,12,1,3,10,3,2,2,12,19,35,Trusted
1058,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
1059,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1060,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1061,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1062,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1063,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1064,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1065,2,13,0,0,2,15,12,1,3,9,0,4,2,11,17,31,Trusted
1066,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1067,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1068,2,12,0,1,2,12,11,1,3,6,0,1,3,10,14,28,Trusted
1069,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1070,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1071,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1072,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1073,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1074,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1075,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
1076,2,13,0,1,1,19,12,1,3,10,3,2,2,12,19,35,Trusted
1077,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1078,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
1079,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1080,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1081,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1082,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1083,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1084,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1085,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1086,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1087,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1088,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1089,2,0,0,0,0,2,3,1,3,0,0,0,0,3,3,7,Trusted
1090,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1091,2,5,0,0,0,6,6,1,3,2,0,0,2,5,7,14,Trusted
1092,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1093,2,11,0,1,1,18,11,1,3,8,3,2,1,11,17,33,Trusted
1094,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1095,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1096,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1097,2,7,0,0,1,5,6,1,3,5,0,0,2,6,8,14,Trusted
1098,2,7,0,0,0,6,6,1,3,4,0,0,2,5,7,14,Trusted
1099,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1100,2,7,0,0,1,8,7,1,3,5,0,2,1,6,9,18,Trusted
1101,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1102,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1103,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1104,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1105,2,7,0,0,0,6,6,1,3,4,0,0,2,5,7,14,Trusted
1106,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1107,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1108,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1109,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1110,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1111,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1112,2,7,0,0,1,8,7,1,3,5,0,2,1,7,10,18,Trusted
1113,2,13,0,1,1,19,12,1,3,10,3,2,2,12,19,35,Trusted
1114,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1115,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1116,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1117,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1118,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1119,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1120,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1121,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1122,2,18,0,1,2,35,19,1,3,14,7,4,1,17,29,59,Trusted
1123,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1124,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1125,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1126,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1127,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1128,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1129,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1130,2,7,0,0,1,8,7,1,3,5,0,2,1,7,10,18,Trusted
1131,2,11,0,1,1,18,11,1,3,8,3,2,1,11,17,33,Trusted
1132,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1133,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1134,2,8,0,0,1,7,7,1,3,6,0,1,2,7,10,17,Trusted
1135,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1136,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1137,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1138,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1139,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1140,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1141,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1142,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1143,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1144,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1145,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1146,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1147,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1148,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1149,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1150,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1151,2,9,0,0,1,9,8,1,3,7,0,2,2,8,12,20,Trusted
1152,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1153,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1154,2,0,0,0,0,2,3,1,3,0,0,0,0,3,3,7,Trusted
1155,2,0,0,0,0,2,3,1,3,0,0,0,0,3,3,7,Trusted
1156,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1157,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1158,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1159,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1160,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1161,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
1162,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1163,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1164,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1165,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1166,2,16,1,2,1,31,16,1,3,10,2,1,1,15,23,54,Trusted
1167,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1168,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1169,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1170,0,0,0,0,0,0,6,1,6,0,0,0,0,6,6,8,Uncertain
1171,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1172,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1173,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1174,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1175,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1176,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1177,2,8,0,0,0,6,9,1,5,8,0,0,4,9,13,17,Trusted
1178,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1179,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1180,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1181,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1182,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1183,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1184,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1185,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1186,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1187,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
1188,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1189,2,11,0,0,2,14,11,1,3,7,0,4,1,10,15,29,Trusted
1190,2,10,0,1,1,16,10,1,3,7,3,1,1,10,15,30,Trusted
1191,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1192,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1193,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
1194,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1195,2,0,0,0,0,2,3,1,3,0,0,0,0,3,3,7,Trusted
1196,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1197,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1198,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1199,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
1200,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1201,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1202,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1203,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1204,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1205,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1206,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1207,2,10,0,1,1,16,10,1,3,7,3,1,1,10,15,30,Trusted
1208,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1209,2,8,0,0,0,6,7,1,3,7,0,0,4,6,10,15,Trusted
1210,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1211,2,12,0,1,1,20,12,1,3,9,3,3,1,12,19,36,Trusted
1212,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1213,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1214,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1215,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1216,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1217,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1218,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1219,2,0,0,0,0,2,3,1,3,0,0,0,0,3,3,7,Trusted
1220,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1221,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1222,0,0,0,0,0,0,4,1,4,0,0,0,0,4,4,6,Uncertain
1223,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1224,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1225,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1226,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1227,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1228,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
1229,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1230,2,15,0,1,1,20,14,1,3,12,2,3,3,13,21,38,Trusted
1231,2,10,0,1,1,16,10,1,3,7,3,1,1,10,15,30,Trusted
1232,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1233,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
1234,2,26,1,1,2,47,25,1,3,17,5,5,2,19,34,78,Trusted
1235,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1236,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1237,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
1238,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1239,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
1240,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
1241,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1242,2,16,0,0,1,16,13,1,3,13,0,4,4,12,20,32,Trusted
1243,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1244,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1245,2,19,0,2,2,34,23,1,5,14,5,5,3,20,33,63,Trusted
1246,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1247,2,38,2,2,3,69,32,1,3,25,6,3,3,29,48,111,Trusted
1248,2,31,2,3,2,65,31,1,3,21,7,6,1,29,48,105,Trusted
1249,2,12,0,3,2,30,18,1,3,8,6,2,1,16,25,55,Trusted
1250,2,10,0,0,0,7,10,1,5,9,0,0,5,9,14,19,Trusted
1251,2,34,0,3,3,38,26,1,3,21,3,7,5,20,35,72,Trusted
1252,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
1253,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
1254,2,29,0,1,4,66,41,1,3,25,1,24,4,33,62,114,Trusted
1255,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1256,2,6,0,0,0,5,8,1,5,6,0,0,3,8,11,15,Trusted
1257,2,10,0,0,0,7,10,1,5,9,0,0,5,9,14,19,Trusted
1258,2,18,0,0,1,22,16,1,3,16,0,7,4,14,25,41,Trusted
1259,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1260,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1261,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1262,2,6,0,0,0,5,10,1,7,6,0,0,3,10,13,17,Uncertain
1263,2,14,0,0,2,14,11,1,3,10,0,4,2,11,17,29,Trusted
1264,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1265,2,10,0,0,0,7,8,1,3,9,0,0,5,7,12,17,Trusted
1266,2,34,5,5,3,114,47,1,3,25,7,4,2,42,70,178,Trusted
1267,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1268,2,14,0,0,1,22,21,1,7,9,0,6,3,16,25,46,Uncertain
1269,2,27,0,0,5,33,20,1,3,20,3,6,4,18,31,60,Trusted
1270,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1271,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1272,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1273,2,12,0,0,1,12,10,1,3,10,0,3,3,10,16,25,Trusted
1274,2,14,0,0,1,11,11,1,3,11,0,1,5,9,15,25,Trusted
1275,2,17,0,0,2,17,13,1,3,13,0,5,3,13,21,34,Trusted
1276,2,24,2,2,1,45,22,1,3,18,2,3,3,21,35,74,Trusted
1277,2,36,1,4,4,69,35,1,3,25,9,4,3,28,50,115,Trusted
1278,2,17,0,0,2,17,13,1,3,13,0,5,3,13,21,34,Trusted
1279,2,23,0,0,3,24,18,1,3,17,0,7,4,17,28,47,Trusted
1280,2,14,0,0,1,13,11,1,3,9,0,3,4,8,15,27,Trusted
1281,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1282,2,31,1,2,4,42,25,1,3,21,1,4,5,21,36,76,Trusted
1283,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1284,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1285,2,16,0,0,3,28,20,1,3,13,0,9,3,16,28,53,Trusted
1286,2,27,2,2,2,44,25,1,3,19,6,5,3,24,39,77,Trusted
1287,2,12,0,0,1,12,10,1,3,10,0,3,3,10,16,25,Trusted
1288,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1289,2,21,0,2,2,26,21,1,3,15,0,6,6,16,28,53,Trusted
1290,2,12,0,0,1,15,13,1,3,8,0,3,3,8,14,31,Trusted
1291,2,22,0,0,3,22,17,1,3,16,0,6,4,16,26,44,Trusted
1292,2,15,0,3,4,39,25,1,3,11,6,5,3,21,35,73,Trusted
1293,2,5,0,0,0,5,5,1,3,6,0,0,3,6,9,12,Trusted
1294,2,18,0,1,1,25,13,1,3,15,5,1,4,13,23,42,Trusted
1295,2,13,0,2,2,33,20,1,3,9,4,6,2,18,30,59,Trusted
1296,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1297,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1298,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
1299,2,23,0,1,4,36,24,1,3,18,6,4,4,18,32,67,Trusted
1300,2,17,1,1,1,27,15,1,3,13,1,2,3,15,24,47,Trusted
1301,0,0,0,0,0,0,5,1,5,0,0,0,0,5,5,7,Uncertain
1302,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1303,2,18,0,0,2,16,13,1,3,14,0,4,4,13,21,33,Trusted
1304,2,10,0,0,2,20,14,1,3,8,0,7,1,13,21,38,Trusted
1305,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1306,2,7,0,0,1,8,7,1,3,5,0,2,1,7,10,18,Trusted
1307,2,10,0,0,0,7,10,1,5,10,0,0,5,10,15,19,Trusted
1308,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1309,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
1310,2,2,0,0,0,3,4,1,3,1,0,0,1,3,4,9,Trusted
1311,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1312,2,5,0,0,1,4,5,1,3,3,0,0,1,5,6,12,Trusted
1313,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1314,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1315,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
1316,2,16,1,2,2,46,29,1,3,13,2,9,3,22,38,82,Trusted
1317,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
1318,2,10,0,0,1,11,9,1,3,8,0,3,2,9,14,23,Trusted
