,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
1161,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1162,6,7,1,7,5,2,9,2,2,5,9,16,Trusted
1163,7,11,1,9,7,2,12,2,3,7,12,21,Trusted
1164,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1165,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1166,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1167,10,11,1,12,7,2,12,1,2,7,12,24,Trusted
1168,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1169,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1170,35,18,1,20,28,2,16,1,1,10,16,56,Trusted
1171,23,8,2,23,41,2,12,6,6,16,28,70,Trusted
1172,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1173,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1174,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1175,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1176,24,7,0,11,21,2,15,0,8,8,16,35,Trusted
1177,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1178,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1179,15,9,1,10,13,2,13,3,3,7,13,27,Trusted
1180,7,6,1,5,7,2,7,1,2,4,7,16,Trusted
1181,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1182,19,19,2,21,14,2,23,7,3,13,23,41,Trusted
1183,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1184,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1185,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1186,14,9,1,14,9,2,14,5,2,8,15,27,Trusted
1187,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1188,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1189,13,8,1,9,11,2,11,3,2,6,11,24,Trusted
1190,8,3,0,4,7,2,6,0,3,3,6,14,Trusted
1191,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1192,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1193,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1194,12,8,1,7,12,2,11,0,5,6,11,23,Trusted
1195,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1196,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1197,49,19,1,34,31,2,25,5,1,15,27,73,Trusted
1198,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1199,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
1200,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1201,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1202,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1203,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
1204,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1205,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1206,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1207,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1208,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1209,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1210,32,12,2,20,25,2,15,3,1,10,17,51,Trusted
1211,36,17,2,34,17,2,25,4,1,14,26,57,Trusted
1212,15,3,0,3,15,2,6,0,3,3,6,21,Trusted
1213,28,13,1,16,23,2,16,1,3,9,16,44,Trusted
1214,15,3,0,3,15,2,6,0,3,3,6,21,Trusted
1215,3,1,0,1,3,2,2,0,1,1,2,7,Trusted
1216,30,3,0,6,30,2,9,0,6,6,12,39,Uncertain
1217,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1218,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1219,3,1,0,1,3,2,2,0,1,1,2,7,Trusted
1220,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1221,36,14,3,14,33,2,18,3,5,10,18,53,Trusted
1222,18,8,1,9,16,2,11,3,2,6,11,29,Trusted
1223,10,2,0,2,10,2,4,0,2,2,4,15,Trusted
1224,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1225,3,1,0,1,3,2,2,0,1,1,2,7,Trusted
1226,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1227,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1228,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1229,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1230,6,9,1,8,5,2,8,1,1,5,8,18,Trusted
1231,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1232,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1233,16,6,2,20,13,2,10,7,1,10,18,39,Uncertain
1234,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1235,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1236,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1237,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1238,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1239,14,7,1,13,8,2,11,5,1,6,12,25,Uncertain
1240,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1241,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1242,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1243,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1244,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1245,13,8,1,13,8,2,12,5,1,7,13,25,Trusted
1246,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1247,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1248,48,29,1,52,18,2,28,1,1,17,28,80,Trusted
1249,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1250,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1251,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1252,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1253,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1254,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1255,5,4,4,26,16,2,4,2,1,13,21,52,Uncertain
1256,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1257,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1258,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1259,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1260,4,5,0,7,6,2,6,0,5,5,10,16,Uncertain
1261,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1262,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1263,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1264,8,13,1,11,7,2,11,2,1,7,11,24,Trusted
1265,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1266,4,2,0,2,4,2,4,0,2,2,4,9,Trusted
1267,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1268,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1269,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1270,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1271,7,13,1,10,7,2,11,1,2,7,11,23,Trusted
1272,9,10,1,11,6,2,10,1,1,6,10,22,Trusted
1273,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1274,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1275,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1276,6,7,1,7,5,2,9,2,2,5,9,16,Trusted
1277,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1278,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1279,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1280,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1281,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1282,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1283,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1284,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1285,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1286,7,13,1,10,7,2,11,1,2,7,11,23,Trusted
1287,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1288,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1289,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1290,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1291,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1292,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1293,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1294,4,2,0,2,4,2,4,0,2,2,4,9,Trusted
1295,4,4,1,2,5,2,3,0,1,2,3,11,Trusted
1296,10,2,0,3,9,2,4,0,2,2,4,15,Trusted
1297,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1298,46,10,1,13,44,2,17,0,9,10,19,61,Trusted
1299,62,16,1,23,52,2,18,4,1,11,19,82,Trusted
1300,5,0,0,2,7,2,1,0,1,2,3,12,Uncertain
1301,30,8,1,9,29,2,12,0,6,7,13,42,Trusted
1302,27,4,0,5,27,2,9,0,5,5,10,35,Trusted
1303,56,12,2,14,52,2,15,1,4,9,16,72,Trusted
1304,41,9,1,12,38,2,14,2,5,8,15,54,Trusted
1305,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1306,11,2,0,3,11,2,5,0,3,3,6,17,Uncertain
1307,3,1,0,1,3,2,2,0,1,1,2,7,Trusted
1308,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1309,17,4,0,5,17,2,9,0,5,5,10,25,Trusted
1310,4,1,0,1,4,2,2,0,1,1,2,8,Trusted
1311,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1312,25,10,1,15,19,2,16,4,4,8,16,38,Trusted
1313,16,2,0,4,16,2,6,0,4,4,8,23,Uncertain
1314,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
1315,4,5,1,3,5,2,5,0,2,3,5,12,Trusted
1316,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1317,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1318,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1319,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1320,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1321,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1322,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1323,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1324,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1325,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1326,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1327,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1328,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1329,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1330,6,7,1,7,5,2,9,2,2,5,9,16,Trusted
1331,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1332,6,10,1,8,6,2,10,2,2,6,10,19,Trusted
1333,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1334,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1335,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1336,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1337,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1338,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1339,6,7,1,7,5,2,10,2,2,6,10,16,Trusted
1340,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1341,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1342,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1343,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1344,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1345,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1346,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1347,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1348,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1349,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1350,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1351,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1352,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1353,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1354,47,25,2,40,26,2,25,1,1,15,25,75,Trusted
1355,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1356,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1357,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1358,20,13,3,18,11,2,16,1,2,9,16,36,Trusted
1359,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1360,12,4,0,7,16,2,9,0,6,7,13,26,Trusted
1361,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1362,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1363,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1364,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1365,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1366,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1367,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1368,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1369,12,5,0,6,11,2,10,0,5,5,10,20,Trusted
1370,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1371,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1372,10,11,1,12,7,2,12,3,1,7,12,24,Trusted
1373,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1374,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1375,19,13,1,14,16,2,16,3,3,9,16,35,Trusted
1376,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1377,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1378,7,13,1,10,7,2,11,1,2,7,11,23,Trusted
1379,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1380,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1381,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1382,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1383,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1384,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1385,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1386,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1387,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1388,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1389,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1390,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1391,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1392,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1393,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1394,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1395,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1396,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1397,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1398,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1399,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1400,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1401,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1402,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1403,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
1404,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1405,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1406,3,4,0,7,6,2,4,0,5,5,10,16,Uncertain
1407,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
1408,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1409,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1410,3,4,0,4,3,2,4,0,2,2,4,10,Uncertain
1411,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1412,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1413,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1414,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1415,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1416,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1417,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1418,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1419,13,8,1,9,11,2,11,3,2,6,11,24,Trusted
1420,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1421,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1422,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1423,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1424,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1425,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1426,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1427,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1428,25,18,3,23,15,2,17,1,1,11,18,47,Trusted
1429,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1430,5,10,1,7,6,2,10,1,3,6,10,18,Trusted
1431,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1432,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1433,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1434,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1435,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1436,5,1,0,2,4,2,3,0,2,1,3,9,Uncertain
1437,13,15,1,16,9,2,15,3,1,9,15,31,Trusted
1438,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1439,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1440,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1441,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1442,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1443,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1444,11,11,1,13,7,2,12,2,1,7,12,25,Trusted
1445,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1446,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1447,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1448,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1449,6,2,0,2,6,2,4,0,2,2,4,11,Trusted
1450,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1451,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1452,21,8,1,13,16,2,13,4,3,7,14,33,Uncertain
1453,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1454,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
1455,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1456,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1457,21,4,0,6,20,2,10,0,6,5,11,29,Uncertain
1458,15,6,1,7,14,2,9,0,5,5,10,25,Uncertain
1459,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1460,21,9,1,9,20,2,13,1,5,7,13,33,Trusted
1461,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1462,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1463,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1464,2,3,0,4,3,2,2,0,2,2,4,10,Uncertain
1465,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1466,4,2,0,2,4,2,4,0,2,2,4,9,Trusted
1467,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1468,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1469,6,7,1,7,5,2,9,2,2,5,9,16,Trusted
1470,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1471,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1472,7,13,1,10,7,2,11,1,2,7,11,23,Trusted
1473,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1474,6,10,1,8,6,2,10,2,2,6,10,19,Trusted
1475,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1476,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1477,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1478,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1479,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1480,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1481,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1482,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1483,10,14,1,13,8,2,13,1,2,8,13,27,Trusted
1484,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1485,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1486,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1487,12,11,1,14,7,2,12,1,1,7,12,26,Trusted
1488,26,15,2,20,18,2,16,2,1,10,17,45,Trusted
1489,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1490,8,2,0,5,12,2,5,0,4,5,9,20,Uncertain
1491,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1492,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
1493,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1494,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1495,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1496,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1497,9,7,1,6,9,2,9,1,3,5,9,19,Trusted
1498,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1499,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1500,15,9,1,10,13,2,13,3,3,7,13,27,Trusted
1501,4,2,0,2,4,2,4,0,2,2,4,9,Trusted
1502,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1503,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1504,4,2,0,2,4,2,4,0,2,2,4,9,Trusted
1505,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1506,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
1507,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1508,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1509,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1510,2,0,0,1,1,2,1,0,1,0,1,5,Uncertain
1511,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
1512,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1513,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1514,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1515,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1516,8,0,0,2,8,2,2,0,2,2,4,13,Uncertain
1517,4,8,1,6,5,2,7,0,3,4,7,15,Uncertain
1518,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1519,6,10,1,8,6,2,10,2,2,6,10,19,Trusted
1520,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
1521,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1522,8,10,1,10,6,2,11,3,2,6,11,21,Trusted
1523,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1524,6,7,1,7,5,2,9,2,2,5,9,16,Trusted
1525,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
1526,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1527,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1528,8,5,1,3,9,2,5,0,2,3,5,16,Trusted
1529,4,1,0,1,4,2,2,0,1,1,2,8,Trusted
1530,14,8,1,9,12,2,11,2,3,6,11,25,Trusted
1531,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
1532,18,8,1,12,13,2,11,4,1,6,11,29,Trusted
1533,45,20,1,30,32,2,21,3,1,13,22,69,Trusted
1534,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1535,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
1536,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1537,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1538,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1539,4,5,1,3,5,2,5,0,2,3,5,12,Trusted
1540,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1541,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1542,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1543,4,5,1,3,5,2,5,0,2,3,5,12,Trusted
1544,12,2,0,4,12,2,6,0,4,4,8,19,Uncertain
1545,21,15,3,15,17,2,15,5,1,9,15,39,Trusted
1546,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
1547,24,12,2,12,21,2,14,4,2,8,14,39,Trusted
1548,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1549,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1550,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1551,12,11,1,9,12,2,12,2,3,7,12,26,Trusted
1552,13,11,1,10,12,2,12,3,2,7,12,27,Trusted
1553,7,9,1,6,8,2,8,1,2,5,8,19,Trusted
1554,8,6,1,6,7,2,7,2,1,4,7,17,Trusted
1555,10,7,1,7,9,2,9,2,2,5,9,20,Trusted
1556,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
1557,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
1558,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1559,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1560,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1561,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1562,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1563,5,6,1,6,4,2,7,2,1,4,7,14,Trusted
1564,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1565,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1566,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1567,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1568,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1569,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1570,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1571,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1572,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1573,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1574,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1575,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1576,16,2,0,4,16,2,6,0,4,4,8,23,Uncertain
1577,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1578,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1579,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1580,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1581,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1582,42,17,1,20,36,2,19,2,3,11,19,62,Trusted
1583,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
1584,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1585,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
1586,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
1587,7,10,1,9,6,2,10,3,1,6,10,20,Trusted
1588,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
