,"[('gen', 'der'), ('usd', 'der'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['gen', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'act'], ['der', 'ent']]","[['gen', 'act'], ['inv', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]",act,ent,label
509,12,4,22,0,0,6,8,11,11,32,Valor
510,18,10,40,0,0,10,14,20,20,55,Valor
511,16,6,32,0,0,8,11,16,16,45,Valor
512,12,4,20,0,0,4,8,10,10,29,Mystic
513,14,6,26,2,2,10,11,16,16,43,Mystic
514,14,4,24,0,0,6,9,12,12,35,Valor
515,6,4,18,0,0,6,5,9,9,25,Instinct
516,14,2,20,0,0,4,8,10,10,30,Mystic
517,12,5,21,1,1,6,9,12,12,33,Instinct
518,18,13,43,7,7,20,20,32,32,77,Mystic
519,20,8,36,6,6,16,17,27,27,67,Instinct
520,14,3,19,1,1,4,9,11,11,31,Instinct
521,18,2,22,0,0,2,10,11,11,33,Valor
522,18,9,33,5,5,14,17,24,24,60,Mystic
523,10,5,23,1,1,8,8,13,13,35,Mystic
524,18,12,38,8,8,20,20,31,31,74,Instinct
525,22,0,24,0,0,2,11,12,12,37,Valor
526,12,6,24,2,2,10,10,15,15,40,Mystic
527,16,0,18,0,0,2,8,9,9,28,Mystic
528,8,8,26,0,0,10,8,13,13,36,Valor
529,16,4,26,0,0,6,10,13,13,38,Valor
530,14,10,34,4,4,14,14,23,23,57,Instinct
531,12,10,32,2,2,12,12,19,19,49,Mystic
532,14,8,32,0,0,10,11,16,16,45,Valor
533,18,4,26,0,0,4,11,13,13,38,Valor
534,14,2,18,0,0,2,8,9,9,27,Mystic
535,18,3,23,1,1,4,11,13,13,37,Instinct
536,16,4,20,4,4,8,12,16,16,41,Mystic
537,8,8,24,2,2,10,10,15,15,38,Mystic
538,12,4,24,0,0,6,8,12,12,34,Instinct
539,16,11,36,6,6,14,18,27,27,64,Mystic
540,20,1,23,1,1,4,11,13,13,38,Mystic
541,10,4,20,0,0,6,7,10,10,29,Instinct
542,16,5,23,1,1,4,11,13,13,36,Instinct
543,14,14,40,4,4,18,16,26,26,65,Instinct
544,6,9,27,1,1,10,8,15,15,38,Instinct
545,16,4,26,0,0,6,10,13,13,38,Valor
546,22,4,32,0,0,6,13,16,16,47,Valor
547,20,8,40,0,0,10,14,20,20,56,Valor
548,16,2,20,2,2,6,10,13,13,36,Instinct
549,12,0,14,0,0,2,6,7,7,22,Valor
550,14,8,34,0,0,10,11,17,17,47,Valor
551,14,10,38,4,4,12,15,25,25,60,Mystic
552,20,11,39,5,5,16,18,27,27,68,Mystic
553,12,10,34,4,4,16,13,23,23,57,Mystic
554,20,2,28,0,0,4,11,14,14,41,Valor
555,12,9,31,3,3,12,12,20,20,50,Instinct
556,12,2,20,0,0,4,7,10,10,29,Valor
557,14,8,33,3,3,12,13,21,21,53,Mystic
558,10,11,42,4,4,16,13,27,27,64,Mystic
559,16,3,23,1,1,6,10,13,13,37,Mystic
560,10,2,18,0,0,4,6,9,9,26,Valor
561,28,2,36,0,0,4,15,18,18,53,Valor
562,16,7,32,4,4,12,14,22,22,55,Mystic
563,18,4,25,3,3,6,13,17,17,44,Instinct
564,18,4,30,0,0,6,11,15,15,43,Valor
565,16,4,22,2,2,6,11,14,14,38,Instinct
566,4,13,34,2,2,14,10,20,20,48,Instinct
567,12,10,33,3,3,14,13,21,21,53,Instinct
568,24,0,26,0,0,2,12,13,13,40,Valor
569,8,14,34,2,2,16,12,20,20,51,Instinct
570,12,10,31,3,3,12,13,20,20,50,Instinct
571,24,2,30,0,0,4,13,15,15,45,Valor
572,20,5,29,3,3,10,14,19,19,51,Instinct
573,20,10,38,6,6,18,18,28,28,70,Instinct
574,18,5,25,5,5,12,14,20,20,51,Instinct
575,14,6,25,3,3,10,12,17,17,44,Instinct
576,14,6,28,2,2,10,11,17,17,45,Instinct
577,6,6,22,0,0,8,6,11,11,30,Instinct
578,8,2,16,0,0,4,5,8,8,23,Mystic
579,8,6,28,0,0,8,7,14,14,37,Valor
580,6,8,24,0,0,10,7,12,12,33,Valor
581,16,4,28,0,0,6,10,14,14,40,Instinct
582,12,9,32,4,4,14,13,22,22,54,Mystic
583,14,0,16,0,0,2,7,8,8,25,Valor
584,18,4,22,4,4,8,13,17,17,44,Instinct
585,14,2,22,0,0,4,8,11,11,32,Mystic
586,10,7,27,1,1,8,9,15,15,39,Mystic
587,14,9,31,3,3,12,13,20,20,51,Mystic
588,8,2,16,0,0,4,5,8,8,23,Instinct
589,12,10,34,0,0,12,11,17,17,47,Valor
590,10,9,32,2,2,10,11,19,19,47,Instinct
591,10,4,20,0,0,6,7,10,10,29,Valor
592,14,9,32,6,6,16,15,25,25,60,Mystic
593,16,7,29,3,3,12,13,19,19,50,Mystic
594,20,2,24,2,2,6,12,15,15,42,Instinct
595,14,6,28,2,2,10,11,17,17,45,Mystic
596,10,9,27,3,3,14,11,18,18,46,Mystic
597,18,4,26,0,0,4,11,13,13,38,Valor
598,16,6,26,4,4,12,13,19,19,49,Mystic
599,16,4,27,1,1,6,11,15,15,41,Mystic
600,18,8,31,3,3,10,15,20,20,52,Instinct
601,28,4,40,0,0,4,16,20,20,57,Valor
602,20,8,31,5,5,12,17,23,23,58,Mystic
603,14,10,39,3,3,12,15,24,24,59,Mystic
604,10,0,12,0,0,2,5,6,6,19,Mystic
605,28,2,34,0,0,4,15,17,17,51,Valor
606,6,6,20,0,0,8,6,10,10,28,Instinct
607,14,6,28,4,4,12,12,20,20,50,Instinct
608,14,9,29,5,5,14,14,22,22,54,Mystic
609,18,2,24,0,0,4,10,12,12,36,Instinct
610,16,6,28,2,2,8,12,17,17,45,Mystic
611,12,6,23,3,3,10,11,16,16,41,Mystic
612,16,4,24,2,2,8,11,15,15,41,Instinct
613,22,6,36,0,0,8,14,18,18,52,Valor
614,10,13,33,5,5,18,15,24,24,58,Mystic
615,32,2,38,0,0,4,17,19,19,57,Valor
616,14,2,20,0,0,4,8,10,10,30,Mystic
617,20,3,25,1,1,4,12,14,14,40,Mystic
618,6,6,24,0,0,8,6,12,12,32,Instinct
619,16,0,18,0,0,2,8,9,9,28,Valor
620,16,16,52,0,0,18,16,26,26,70,Valor
621,14,0,16,0,0,2,7,8,8,25,Instinct
622,16,6,30,0,0,8,11,15,15,43,Valor
623,18,5,27,3,3,8,13,18,18,47,Mystic
624,10,3,17,1,1,6,7,10,10,28,Mystic
625,12,12,34,4,4,16,14,23,23,57,Mystic
626,10,2,16,0,0,4,6,8,8,24,Mystic
627,18,6,24,4,4,8,14,18,18,46,Mystic
628,12,4,32,0,0,6,8,16,16,42,Valor
629,14,7,27,3,3,12,12,18,18,47,Instinct
630,18,2,24,0,0,4,10,12,12,36,Valor
631,10,12,40,2,2,14,12,23,23,57,Instinct
632,14,11,32,4,4,14,15,22,22,55,Mystic
633,14,13,33,5,5,16,16,24,24,59,Mystic
634,8,6,20,2,2,10,8,13,13,34,Mystic
635,18,6,32,0,0,8,12,16,16,46,Valor
636,14,4,26,0,0,6,9,13,13,37,Valor
637,18,6,27,5,5,12,15,21,21,53,Mystic
638,18,12,50,0,0,14,15,25,25,67,Valor
639,16,9,45,3,3,14,14,27,27,67,Mystic
640,22,9,39,5,5,14,18,27,27,68,Instinct
641,16,2,24,0,0,4,9,12,12,35,Mystic
642,10,6,24,0,0,8,8,12,12,34,Mystic
643,8,4,16,0,0,4,6,8,8,23,Valor
644,18,8,33,5,5,12,16,24,24,59,Mystic
645,14,4,24,0,0,6,9,12,12,35,Valor
646,20,10,35,5,5,14,18,25,25,63,Mystic
647,16,6,30,0,0,8,11,15,15,43,Valor
648,10,2,16,0,0,4,6,8,8,24,Mystic
649,8,4,26,0,0,6,6,13,13,34,Mystic
650,20,7,31,5,5,12,16,23,23,58,Mystic
651,12,3,19,1,1,6,8,11,11,31,Mystic
652,8,12,42,2,2,16,11,24,24,59,Mystic
653,18,4,26,2,2,8,12,16,16,44,Mystic
654,14,3,21,1,1,6,9,12,12,34,Instinct
655,10,7,25,1,1,10,9,14,14,38,Mystic
656,12,4,22,0,0,6,8,11,11,32,Valor
657,20,2,26,0,0,4,11,13,13,39,Valor
658,14,4,23,3,3,8,11,16,16,41,Instinct
659,18,7,33,1,1,8,13,18,18,49,Mystic
660,12,8,33,3,3,12,12,21,21,52,Instinct
661,22,0,24,0,0,2,11,12,12,37,Instinct
662,14,4,24,0,0,4,9,12,12,34,Valor
663,10,4,20,0,0,6,7,10,10,29,Valor
664,18,4,26,2,2,8,12,16,16,44,Instinct
665,10,8,32,0,0,8,9,16,16,42,Valor
666,20,2,26,0,0,4,11,13,13,39,Valor
667,18,5,27,1,1,6,12,15,15,42,Instinct
668,16,5,27,1,1,8,11,15,15,42,Instinct
669,20,4,30,0,0,6,12,15,15,44,Valor
670,6,11,30,4,4,16,11,21,21,50,Mystic
671,10,18,45,9,9,28,19,36,36,83,Instinct
672,12,9,29,1,1,10,11,16,16,43,Instinct
673,22,12,47,5,5,18,20,31,31,78,Mystic
674,20,8,40,0,0,10,14,20,20,56,Valor
675,10,2,14,0,0,2,6,7,7,21,Instinct
676,14,4,22,0,0,4,9,11,11,32,Instinct
677,14,11,36,4,4,14,15,24,24,59,Instinct
678,20,6,34,0,0,8,13,17,17,49,Valor
679,12,4,22,0,0,6,8,11,11,32,Instinct
680,14,8,26,4,4,12,13,19,19,48,Instinct
681,16,0,18,0,0,2,8,9,9,28,Mystic
682,14,8,32,0,0,10,11,16,16,45,Valor
683,14,9,40,2,2,12,13,23,23,58,Instinct
684,14,6,30,0,0,8,10,15,15,42,Mystic
685,18,4,28,0,0,4,11,14,14,40,Valor
686,16,6,38,0,0,8,11,19,19,51,Valor
687,8,16,39,3,3,18,14,24,24,59,Mystic
688,24,10,41,5,5,16,20,28,28,72,Instinct
689,20,6,29,5,5,12,16,22,22,56,Instinct
690,14,7,28,2,2,10,12,17,17,45,Instinct
691,12,7,29,1,1,8,10,16,16,42,Mystic
692,22,4,34,0,0,6,13,17,17,49,Valor
693,12,0,14,0,0,2,6,7,7,22,Instinct
694,8,6,24,0,0,8,7,12,12,33,Mystic
695,18,4,26,0,0,4,11,13,13,38,Valor
696,12,10,27,5,5,14,14,21,21,51,Instinct
697,16,2,22,0,0,4,9,11,11,33,Valor
698,26,2,34,0,0,4,14,17,17,50,Valor
699,32,2,42,0,0,4,17,21,21,61,Valor
700,18,2,26,0,0,4,10,13,13,38,Valor
701,18,5,27,3,3,10,13,18,18,48,Instinct
702,16,5,25,3,3,10,12,17,17,45,Mystic
703,16,4,24,2,2,8,11,15,15,41,Instinct
704,14,6,24,4,4,12,12,18,18,46,Mystic
705,20,8,44,0,0,10,14,22,22,60,Valor
706,24,4,36,0,0,6,14,18,18,52,Valor
707,18,6,30,0,0,6,12,15,15,43,Valor
708,22,5,31,3,3,8,15,20,20,53,Mystic
709,14,10,42,0,0,12,12,21,21,56,Valor
710,16,3,23,1,1,6,10,13,13,37,Instinct
711,2,0,4,0,0,2,1,2,2,7,Mystic
712,12,2,22,0,0,4,7,11,11,31,Mystic
713,18,2,32,0,0,4,10,16,16,44,Valor
714,24,4,34,0,0,6,14,17,17,50,Valor
715,16,3,23,1,1,6,10,13,13,37,Instinct
716,12,12,37,3,3,14,14,23,23,57,Instinct
717,4,4,14,0,0,6,4,7,7,20,Valor
718,16,4,26,0,0,6,10,13,13,38,Instinct
719,18,3,23,1,1,4,11,13,13,37,Mystic
720,18,10,33,5,5,14,17,24,24,60,Mystic
721,32,4,42,0,0,6,18,21,21,62,Valor
722,16,10,38,4,4,14,16,25,25,62,Instinct
723,16,7,34,4,4,12,14,23,23,57,Mystic
724,16,6,28,4,4,12,13,20,20,51,Instinct
725,12,11,35,5,5,18,14,25,25,61,Mystic
726,16,0,18,0,0,2,8,9,9,28,Valor
727,10,11,30,4,4,16,13,21,21,52,Instinct
728,12,2,16,0,0,2,7,8,8,24,Mystic
729,10,6,24,0,0,6,8,12,12,33,Valor
730,18,4,28,0,0,6,11,14,14,41,Valor
731,16,10,33,5,5,16,16,24,24,60,Mystic
732,18,4,28,2,2,8,12,17,17,46,Instinct
733,12,6,32,0,0,8,9,16,16,43,Mystic
734,12,4,21,1,1,6,9,12,12,33,Instinct
735,22,2,32,0,0,4,12,16,16,46,Valor
736,16,2,22,0,0,4,9,11,11,33,Mystic
737,16,6,28,0,0,6,11,14,14,40,Valor
738,18,2,24,0,0,4,10,12,12,36,Valor
739,22,4,34,0,0,6,13,17,17,49,Valor
740,14,2,18,0,0,2,8,9,9,27,Instinct
741,16,4,27,1,1,6,11,15,15,41,Mystic
742,8,5,19,1,1,6,7,11,11,29,Instinct
743,14,7,28,2,2,10,12,17,17,45,Mystic
744,28,4,38,0,0,6,16,19,19,56,Valor
745,16,0,18,0,0,2,8,9,9,28,Instinct
746,16,10,34,4,4,16,15,23,23,59,Instinct
747,10,4,22,0,0,6,7,11,11,31,Instinct
748,8,12,32,2,2,16,11,19,19,49,Mystic
749,12,2,18,0,0,4,7,9,9,27,Instinct
750,20,9,32,6,6,14,18,25,25,62,Mystic
751,12,4,20,2,2,8,9,13,13,35,Mystic
752,18,5,30,2,2,8,13,18,18,48,Mystic
753,14,10,36,0,0,12,12,18,18,50,Valor
754,16,6,28,2,2,10,12,17,17,46,Instinct
755,20,8,35,5,5,12,17,25,25,62,Mystic
756,12,6,26,0,0,8,9,13,13,37,Mystic
757,8,2,14,0,0,4,5,7,7,21,Instinct
758,14,3,21,1,1,6,9,12,12,34,Mystic
759,14,14,43,5,5,20,17,29,29,71,Mystic
760,16,10,33,3,3,12,15,21,21,54,Mystic
761,16,4,28,0,0,6,10,14,14,40,Valor
762,10,10,33,3,3,12,12,21,21,51,Mystic
763,16,8,30,4,4,12,14,21,21,53,Instinct
764,16,3,23,1,1,6,10,13,13,37,Mystic
765,18,4,28,0,0,6,11,14,14,41,Valor
766,16,4,28,2,2,8,11,17,17,45,Mystic
767,20,2,28,0,0,4,11,14,14,41,Valor
768,14,2,20,0,0,4,8,10,10,30,Valor
769,18,9,35,5,5,16,16,25,25,63,Mystic
770,20,0,22,0,0,2,10,11,11,34,Valor
771,18,11,32,6,6,14,18,25,25,61,Mystic
772,12,0,14,0,0,2,6,7,7,22,Instinct
773,16,4,26,0,0,6,10,13,13,38,Mystic
774,10,8,26,4,4,14,11,19,19,47,Instinct
775,6,4,18,0,0,6,5,9,9,25,Valor
776,18,6,28,4,4,12,14,20,20,52,Mystic
777,12,4,22,0,0,6,8,11,11,32,Mystic
778,10,6,26,2,2,10,9,16,16,41,Mystic
779,18,2,24,0,0,4,10,12,12,36,Valor
780,16,0,18,0,0,2,8,9,9,28,Mystic
781,20,4,34,0,0,6,12,17,17,48,Valor
782,10,4,24,0,0,6,7,12,12,33,Mystic
783,12,4,24,0,0,4,8,12,12,33,Valor
784,16,14,46,6,6,20,19,32,32,77,Mystic
785,22,8,40,0,0,8,15,20,20,56,Valor
786,14,13,37,5,5,18,17,26,26,64,Mystic
787,10,6,23,1,1,8,9,13,13,35,Instinct
788,18,4,25,3,3,8,13,17,17,45,Mystic
789,20,5,30,4,4,10,15,21,21,54,Instinct
790,16,2,24,0,0,4,9,12,12,35,Valor
791,16,2,20,2,2,6,10,13,13,36,Mystic
792,6,4,18,0,0,6,5,9,9,25,Mystic
793,16,6,28,2,2,10,12,17,17,46,Instinct
794,6,0,8,0,0,2,3,4,4,13,Mystic
795,12,2,18,0,0,4,7,9,9,27,Valor
796,10,8,30,0,0,10,9,15,15,41,Mystic
797,12,7,28,2,2,10,11,17,17,44,Mystic
798,16,2,24,0,0,4,9,12,12,35,Valor
799,14,2,20,0,0,4,8,10,10,30,Instinct
800,16,3,27,1,1,4,10,15,15,40,Mystic
801,20,4,32,0,0,6,12,16,16,46,Valor
802,22,4,34,2,2,8,14,20,20,54,Instinct
803,16,2,22,0,0,4,9,11,11,33,Valor
804,38,6,52,0,0,8,22,26,26,76,Valor
805,26,14,56,0,0,14,20,28,28,77,Valor
806,10,10,29,3,3,14,12,19,19,48,Mystic
807,10,10,38,0,0,12,10,19,19,50,Valor
808,12,6,26,0,0,8,9,13,13,37,Valor
809,14,2,20,0,0,4,8,10,10,30,Valor
810,14,6,24,4,4,12,12,18,18,46,Mystic
811,18,8,36,0,0,10,13,18,18,51,Valor
812,14,6,26,0,0,6,10,13,13,37,Valor
813,10,0,12,0,0,2,5,6,6,19,Mystic
814,18,2,26,0,0,4,10,13,13,38,Valor
815,14,6,30,0,0,8,10,15,15,42,Valor
816,10,8,25,3,3,12,11,17,17,43,Instinct
817,8,4,20,0,0,6,6,10,10,28,Instinct
818,18,3,24,2,2,6,12,15,15,41,Instinct
819,10,6,26,0,0,8,8,13,13,36,Valor
820,14,8,34,0,0,10,11,17,17,47,Valor
821,20,9,37,3,3,10,17,23,23,59,Mystic
822,12,6,30,0,0,8,9,15,15,41,Valor
823,12,7,26,2,2,10,11,16,16,42,Mystic
824,10,4,20,0,0,6,7,10,10,29,Instinct
825,16,4,26,2,2,8,11,16,16,43,Instinct
826,16,4,26,0,0,6,10,13,13,38,Mystic
827,12,2,18,0,0,4,7,9,9,27,Mystic
828,18,9,31,7,7,16,17,26,26,63,Mystic
829,24,4,34,0,0,6,14,17,17,50,Valor
830,10,8,30,2,2,10,10,18,18,45,Mystic
831,14,11,39,3,3,14,15,24,24,60,Instinct
832,8,12,33,5,5,16,13,24,24,56,Instinct
833,14,12,41,5,5,16,16,28,28,67,Instinct
834,28,4,40,0,0,6,16,20,20,58,Valor
835,16,2,22,0,0,4,9,11,11,33,Valor
836,22,6,31,5,5,12,17,23,23,59,Instinct
837,8,4,18,0,0,6,6,9,9,26,Valor
838,26,6,40,0,0,8,16,20,20,58,Valor
839,24,0,26,0,0,2,12,13,13,40,Valor
840,14,7,30,4,4,12,13,21,21,52,Instinct
841,14,8,29,3,3,12,13,19,19,49,Instinct
842,16,5,27,3,3,10,12,18,18,47,Instinct
843,16,12,37,5,5,16,17,26,26,64,Instinct
844,6,13,38,2,2,14,11,22,22,53,Instinct
845,18,2,24,0,0,4,10,12,12,36,Mystic
846,12,6,26,0,0,8,9,13,13,37,Valor
847,20,4,30,0,0,6,12,15,15,44,Valor
848,12,2,18,0,0,4,7,9,9,27,Instinct
849,20,4,28,0,0,4,12,14,14,41,Instinct
850,14,3,27,1,1,6,9,15,15,40,Mystic
851,14,3,21,1,1,6,9,12,12,34,Mystic
852,24,2,32,0,0,4,13,16,16,47,Valor
853,6,6,18,0,0,6,6,9,9,25,Mystic
854,8,4,30,0,0,6,6,15,15,38,Mystic
855,22,3,28,2,2,6,14,17,17,47,Mystic
856,16,4,28,0,0,6,10,14,14,40,Mystic
857,14,7,23,3,3,8,12,16,16,41,Instinct
858,14,2,20,0,0,4,8,10,10,30,Valor
859,18,11,37,7,7,18,19,29,29,70,Instinct
860,22,2,30,0,0,4,12,15,15,44,Valor
861,14,9,38,2,2,12,13,22,22,56,Mystic
862,18,2,24,0,0,4,10,12,12,36,Valor
863,36,2,42,0,0,4,19,21,21,63,Valor
864,26,10,48,0,0,12,18,24,24,68,Valor
865,16,4,26,0,0,6,10,13,13,38,Valor
866,14,10,42,0,0,10,12,21,21,55,Valor
867,10,2,18,0,0,4,6,9,9,26,Instinct
868,12,2,18,0,0,4,7,9,9,27,Mystic
869,30,4,42,0,0,6,17,21,21,61,Valor
870,10,12,32,6,6,18,15,25,25,59,Instinct
871,12,14,38,4,4,18,16,25,25,62,Mystic
872,14,6,28,0,0,8,10,14,14,40,Valor
873,14,8,26,4,4,12,13,19,19,48,Mystic
874,16,2,22,0,0,4,9,11,11,33,Valor
875,10,9,35,1,1,12,10,19,19,49,Instinct
876,14,8,32,4,4,14,13,22,22,55,Mystic
877,12,4,24,0,0,6,8,12,12,34,Instinct
878,18,0,20,0,0,2,9,10,10,31,Valor
879,12,3,19,1,1,6,8,11,11,31,Mystic
880,14,4,24,2,2,8,10,15,15,40,Mystic
881,14,4,26,2,2,8,10,16,16,42,Mystic
882,14,7,24,4,4,10,13,18,18,45,Instinct
883,20,2,24,0,0,2,11,12,12,36,Valor
884,24,0,26,0,0,2,12,13,13,40,Valor
885,8,12,38,4,4,16,12,25,25,59,Mystic
886,12,5,23,1,1,8,9,13,13,36,Instinct
887,22,4,34,0,0,6,13,17,17,49,Valor
888,16,2,22,0,0,4,9,11,11,33,Instinct
889,18,10,38,0,0,10,14,19,19,53,Valor
890,12,2,18,0,0,4,7,9,9,27,Mystic
891,16,5,27,1,1,8,11,15,15,42,Mystic
892,10,11,32,4,4,16,13,22,22,54,Instinct
893,28,2,34,0,0,4,15,17,17,51,Valor
894,10,4,24,0,0,6,7,12,12,33,Valor
895,16,4,28,0,0,6,10,14,14,40,Valor
896,18,6,28,4,4,10,15,20,20,51,Instinct
897,14,0,16,0,0,2,7,8,8,25,Instinct
898,8,2,14,0,0,4,5,7,7,21,Valor
899,18,2,23,1,1,2,11,13,13,36,Instinct
900,22,7,31,5,5,12,17,23,23,59,Instinct
901,22,4,28,4,4,10,15,20,20,53,Instinct
902,18,3,23,3,3,8,12,16,16,43,Mystic
903,6,4,16,0,0,6,5,8,8,23,Valor
904,20,4,28,2,2,8,13,17,17,47,Instinct
905,8,4,20,0,0,6,6,10,10,28,Valor
906,18,5,28,4,4,10,14,20,20,51,Mystic
907,18,3,23,1,1,4,11,13,13,37,Mystic
908,10,0,12,0,0,2,5,6,6,19,Mystic
909,12,4,24,0,0,6,8,12,12,34,Instinct
910,22,1,25,1,1,4,12,14,14,41,Instinct
911,18,16,45,7,7,20,21,33,33,79,Mystic
912,8,11,41,3,3,14,12,25,25,59,Mystic
913,8,2,14,0,0,2,5,7,7,20,Valor
914,32,2,44,0,0,4,17,22,22,63,Valor
915,20,4,28,2,2,8,13,17,17,47,Mystic
916,12,10,34,2,2,10,12,20,20,50,Mystic
917,20,6,30,2,2,8,14,18,18,49,Instinct
918,8,2,14,0,0,4,5,7,7,21,Valor
919,20,2,26,0,0,4,11,13,13,39,Valor
920,8,4,18,0,0,6,6,9,9,26,Valor
921,18,4,26,2,2,8,12,16,16,44,Instinct
922,18,3,25,1,1,6,11,14,14,40,Instinct
923,18,4,28,0,0,6,11,14,14,41,Valor
924,20,4,32,0,0,4,12,16,16,45,Valor
925,16,6,34,0,0,8,11,17,17,47,Valor
926,10,6,28,0,0,8,8,14,14,38,Valor
927,12,5,23,1,1,8,9,13,13,36,Mystic
928,18,6,30,0,0,6,12,15,15,43,Valor
929,26,10,46,6,6,16,22,32,32,80,Instinct
930,14,2,18,0,0,2,8,9,9,27,Instinct
931,18,4,25,3,3,8,13,17,17,45,Instinct
932,24,8,37,7,7,14,20,29,29,71,Instinct
933,14,4,22,2,2,8,10,14,14,38,Instinct
934,12,5,23,1,1,8,9,13,13,36,Instinct
935,18,3,28,2,2,6,12,17,17,45,Instinct
936,24,2,30,0,0,4,13,15,15,45,Valor
937,16,5,24,4,4,10,13,18,18,46,Instinct
938,16,6,30,0,0,8,11,15,15,43,Valor
939,24,4,34,0,0,4,14,17,17,49,Valor
940,18,6,30,0,0,6,12,15,15,43,Valor
941,14,4,22,2,2,8,10,14,14,38,Instinct
942,12,6,28,0,0,6,9,14,14,38,Instinct
943,16,2,22,0,0,4,9,11,11,33,Valor
944,16,8,32,0,0,8,12,16,16,45,Valor
945,20,7,29,5,5,12,16,22,22,56,Instinct
946,12,12,46,0,0,14,12,23,23,60,Valor
947,14,8,34,4,4,12,14,23,23,56,Mystic
948,18,4,28,0,0,6,11,14,14,41,Mystic
949,16,3,23,1,1,6,10,13,13,37,Instinct
950,18,6,34,0,0,8,12,17,17,48,Valor
951,14,7,27,3,3,12,12,18,18,47,Mystic
952,18,10,34,4,4,14,16,23,23,59,Mystic
953,10,5,23,1,1,6,8,13,13,34,Instinct
954,10,8,28,2,2,10,10,17,17,43,Instinct
955,14,2,20,0,0,4,8,10,10,30,Instinct
956,18,7,31,3,3,12,14,20,20,53,Instinct
957,16,6,32,0,0,8,11,16,16,45,Instinct
958,6,8,26,0,0,8,7,13,13,34,Valor
959,26,2,34,0,0,4,14,17,17,50,Valor
960,12,6,32,0,0,8,9,16,16,43,Valor
961,16,4,26,0,0,4,10,13,13,37,Valor
962,12,10,33,3,3,12,13,21,21,52,Mystic
963,10,7,23,3,3,12,10,16,16,41,Instinct
964,24,2,30,0,0,4,13,15,15,45,Valor
965,24,0,26,0,0,2,12,13,13,40,Valor
966,12,6,28,0,0,6,9,14,14,38,Valor
967,20,10,44,2,2,12,16,25,25,65,Mystic
968,16,4,28,0,0,6,10,14,14,40,Valor
969,22,2,28,0,0,4,12,14,14,42,Valor
970,10,8,31,3,3,10,11,20,20,48,Mystic
971,12,8,27,1,1,8,11,15,15,40,Instinct
972,12,2,18,0,0,2,7,9,9,26,Valor
973,14,4,22,2,2,8,10,14,14,38,Mystic
974,16,8,30,4,4,14,14,21,21,54,Instinct
975,16,7,32,2,2,10,13,19,19,50,Instinct
976,10,14,40,6,6,20,15,29,29,68,Mystic
977,16,3,22,2,2,6,11,14,14,38,Instinct
978,14,4,22,0,0,4,9,11,11,32,Valor
979,12,8,26,2,2,8,11,16,16,41,Mystic
980,16,11,39,3,3,14,15,24,24,61,Mystic
981,10,8,26,2,2,8,10,16,16,40,Instinct
982,18,6,32,0,0,6,12,16,16,45,Valor
983,14,6,30,0,0,8,10,15,15,42,Valor
984,14,9,29,5,5,14,15,22,22,54,Instinct
985,8,10,31,5,5,16,12,23,23,54,Mystic
986,8,5,27,1,1,8,7,15,15,38,Instinct
987,6,4,20,0,0,6,5,10,10,27,Valor
988,16,6,30,2,2,10,12,18,18,48,Mystic
989,22,8,38,4,4,14,17,25,25,65,Mystic
990,24,3,32,2,2,6,15,19,19,52,Mystic
991,14,14,45,7,7,20,18,33,33,77,Instinct
992,14,6,26,2,2,10,11,16,16,43,Instinct
993,18,2,22,0,0,2,10,11,11,33,Valor
994,18,2,22,0,0,2,10,11,11,33,Instinct
995,10,6,30,0,0,6,8,15,15,39,Valor
996,18,5,27,3,3,10,13,18,18,48,Mystic
997,20,2,22,2,2,4,12,14,14,39,Mystic
998,12,4,24,0,0,6,8,12,12,34,Mystic
999,6,4,16,0,0,6,5,8,8,23,Valor
1000,8,4,20,0,0,6,6,10,10,28,Valor
1001,16,8,30,4,4,10,15,21,21,52,Instinct
1002,12,12,33,3,3,14,14,21,21,53,Mystic
1003,18,6,34,2,2,8,13,20,20,52,Instinct
1004,20,11,37,5,5,16,18,26,26,66,Mystic
1005,18,7,34,2,2,10,14,20,20,53,Mystic
1006,22,6,38,0,0,6,14,19,19,53,Valor
1007,10,6,34,0,0,6,8,17,17,43,Valor
1008,12,11,34,4,4,16,14,23,23,57,Mystic
1009,16,0,18,0,0,2,8,9,9,28,Valor
1010,12,7,25,3,3,12,11,17,17,44,Instinct
1011,10,8,32,0,0,10,9,16,16,43,Mystic
1012,22,6,30,6,6,14,17,24,24,61,Mystic
1013,14,4,26,2,2,8,10,16,16,42,Instinct
1014,16,0,18,0,0,2,8,9,9,28,Valor
1015,16,6,28,2,2,10,12,17,17,46,Mystic
1016,18,0,20,0,0,2,9,10,10,31,Valor
1017,18,9,34,4,4,12,16,23,23,58,Instinct
1018,6,17,32,6,6,20,15,25,25,58,Instinct
1019,16,6,30,0,0,8,11,15,15,43,Valor
1020,14,4,22,0,0,4,9,11,11,32,Mystic
1021,18,10,34,4,4,12,17,23,23,58,Mystic
1022,14,2,20,0,0,4,8,10,10,30,Instinct
1023,20,6,29,5,5,12,16,22,22,56,Instinct
1024,8,4,26,0,0,6,6,13,13,34,Instinct
