,"[('gen', 'der'), ('usd', 'der'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['gen', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]",act,ent,label
605,0,2,4,2,1,2,2,6,Valor
606,0,2,6,4,1,3,3,9,Valor
607,18,2,24,4,10,12,12,36,Instinct
608,0,2,6,4,1,3,3,9,Valor
609,4,2,12,4,3,6,6,17,Mystic
610,4,0,6,2,2,3,3,10,Mystic
611,10,6,28,8,8,14,14,38,Instinct
612,2,0,4,2,1,2,2,7,Valor
613,0,2,4,2,1,2,2,6,Mystic
614,12,4,22,6,8,11,11,32,Instinct
615,2,0,4,2,1,2,2,7,Mystic
616,4,0,6,2,2,3,3,10,Mystic
617,0,2,4,2,1,2,2,6,Valor
618,2,2,8,4,2,4,4,12,Mystic
619,4,2,10,4,3,5,5,15,Valor
620,2,0,4,2,1,2,2,7,Valor
621,6,8,28,10,7,14,14,37,Instinct
622,12,4,22,6,8,11,11,32,Instinct
623,4,0,6,2,2,3,3,10,Mystic
624,2,2,6,2,2,3,3,9,Valor
625,2,0,4,2,1,2,2,7,Valor
626,6,8,28,10,7,14,14,37,Instinct
627,2,2,6,2,2,3,3,9,Valor
628,0,0,2,2,0,1,1,4,Valor
629,6,0,8,2,3,4,4,13,Valor
630,6,10,28,12,8,14,14,38,Instinct
631,4,6,20,6,5,10,10,26,Instinct
632,2,0,4,2,1,2,2,7,Mystic
633,0,0,2,2,0,1,1,4,Valor
634,0,0,2,2,0,1,1,4,Mystic
635,12,6,28,8,9,14,14,39,Instinct
636,2,0,4,2,1,2,2,7,Valor
637,0,2,4,2,1,2,2,6,Mystic
638,4,0,6,2,2,3,3,10,Mystic
639,8,6,22,8,7,11,11,31,Instinct
640,0,0,2,2,0,1,1,4,Valor
641,16,0,18,2,8,9,9,28,Instinct
642,0,2,4,2,1,2,2,6,Mystic
643,14,2,20,4,8,10,10,30,Instinct
644,0,0,2,2,0,1,1,4,Valor
645,0,2,4,2,1,2,2,6,Mystic
646,0,2,6,2,1,3,3,8,Valor
647,0,0,2,2,0,1,1,4,Mystic
648,4,0,6,2,2,3,3,10,Valor
649,0,0,2,2,0,1,1,4,Mystic
650,16,2,26,4,9,13,13,37,Instinct
651,16,0,18,2,8,9,9,28,Instinct
652,2,0,4,2,1,2,2,7,Valor
653,0,2,4,2,1,2,2,6,Mystic
654,4,4,14,6,4,7,7,20,Instinct
655,0,2,4,2,1,2,2,6,Mystic
656,0,0,2,2,0,1,1,4,Valor
657,14,4,24,6,9,12,12,35,Instinct
658,8,2,14,4,5,7,7,21,Instinct
659,2,6,18,8,4,9,9,24,Instinct
660,0,0,2,2,0,1,1,4,Mystic
661,0,2,4,2,1,2,2,6,Valor
662,16,0,18,2,8,9,9,28,Instinct
663,12,4,22,6,8,11,11,32,Instinct
664,0,2,4,2,1,2,2,6,Mystic
665,12,0,14,2,6,7,7,22,Instinct
666,0,2,6,2,1,3,3,8,Mystic
667,12,4,22,6,8,11,11,32,Instinct
668,18,0,20,2,9,10,10,31,Instinct
669,10,4,22,6,7,11,11,31,Instinct
670,6,0,8,2,3,4,4,13,Mystic
671,0,0,2,2,0,1,1,4,Valor
672,0,2,4,2,1,2,2,6,Valor
673,0,2,4,2,1,2,2,6,Mystic
674,0,2,6,4,1,3,3,9,Valor
675,4,0,6,2,2,3,3,10,Valor
676,6,0,8,2,3,4,4,13,Mystic
677,12,8,36,10,10,18,18,48,Instinct
678,0,0,2,2,0,1,1,4,Valor
679,2,0,4,2,1,2,2,7,Mystic
680,10,8,36,10,9,18,18,47,Instinct
681,4,2,12,4,3,6,6,17,Mystic
682,0,0,2,2,0,1,1,4,Valor
683,12,4,26,6,8,13,13,36,Instinct
684,18,2,24,4,10,12,12,36,Instinct
685,14,0,16,2,7,8,8,25,Instinct
686,4,2,12,4,3,6,6,17,Mystic
687,0,0,2,2,0,1,1,4,Mystic
688,8,2,14,4,5,7,7,21,Mystic
689,2,2,8,4,2,4,4,12,Valor
690,20,6,32,6,13,16,16,46,Instinct
691,0,0,2,2,0,1,1,4,Mystic
692,0,0,2,2,0,1,1,4,Mystic
693,4,0,6,2,2,3,3,10,Mystic
694,0,2,6,4,1,3,3,9,Valor
695,12,4,24,6,8,12,12,34,Instinct
696,0,2,4,2,1,2,2,6,Mystic
697,12,4,22,6,8,11,11,32,Instinct
698,2,0,4,2,1,2,2,7,Mystic
699,0,0,2,2,0,1,1,4,Mystic
700,2,0,4,2,1,2,2,7,Mystic
701,12,2,18,4,7,9,9,27,Instinct
702,2,0,4,2,1,2,2,7,Mystic
703,4,10,30,10,7,15,15,38,Instinct
704,0,0,2,2,0,1,1,4,Valor
705,10,6,24,8,8,12,12,34,Instinct
706,16,2,22,4,9,11,11,33,Instinct
707,0,2,4,2,1,2,2,6,Mystic
708,0,2,6,4,1,3,3,9,Valor
709,2,2,8,4,2,4,4,12,Valor
710,0,0,2,2,0,1,1,4,Valor
711,0,2,4,2,1,2,2,6,Valor
712,12,6,26,8,9,13,13,37,Instinct
713,12,4,22,6,8,11,11,32,Instinct
714,10,10,36,10,10,18,18,47,Instinct
715,16,6,32,8,11,16,16,45,Instinct
716,6,0,8,2,3,4,4,13,Valor
717,0,0,2,2,0,1,1,4,Valor
718,18,4,28,6,11,14,14,41,Instinct
719,4,2,10,4,3,5,5,15,Mystic
720,4,0,6,2,2,3,3,10,Mystic
721,2,0,4,2,1,2,2,7,Valor
722,2,0,4,2,1,2,2,7,Valor
723,0,0,2,2,0,1,1,4,Valor
724,6,10,34,10,8,17,17,43,Instinct
725,0,2,4,2,1,2,2,6,Valor
726,0,0,2,2,0,1,1,4,Mystic
727,2,0,4,2,1,2,2,7,Valor
728,4,2,8,2,3,4,4,12,Mystic
729,20,2,28,4,11,14,14,41,Instinct
730,2,0,4,2,1,2,2,7,Mystic
731,2,4,16,4,3,8,8,20,Valor
732,16,2,22,4,9,11,11,33,Instinct
733,20,2,28,4,11,14,14,41,Instinct
734,0,0,2,2,0,1,1,4,Valor
735,0,0,2,2,0,1,1,4,Valor
736,2,0,4,2,1,2,2,7,Valor
737,0,2,4,2,1,2,2,6,Valor
738,14,6,28,8,10,14,14,40,Instinct
739,8,2,16,4,5,8,8,23,Valor
740,0,2,4,2,1,2,2,6,Mystic
741,8,8,26,8,8,13,13,35,Instinct
742,10,0,12,2,5,6,6,19,Mystic
743,0,0,2,2,0,1,1,4,Valor
744,8,0,10,2,4,5,5,16,Mystic
745,0,0,2,2,0,1,1,4,Mystic
746,4,0,6,2,2,3,3,10,Mystic
747,4,0,6,2,2,3,3,10,Mystic
748,2,0,4,2,1,2,2,7,Valor
749,4,8,26,10,6,13,13,34,Instinct
750,2,0,4,2,1,2,2,7,Mystic
751,2,2,10,4,2,5,5,14,Mystic
752,6,0,8,2,3,4,4,13,Valor
753,10,0,12,2,5,6,6,19,Mystic
754,2,2,10,4,2,5,5,14,Valor
755,0,2,4,2,1,2,2,6,Valor
756,2,0,4,2,1,2,2,7,Valor
757,4,2,12,4,3,6,6,17,Valor
758,0,0,2,2,0,1,1,4,Mystic
759,0,2,6,2,1,3,3,8,Mystic
760,8,6,24,8,7,12,12,33,Instinct
761,0,0,2,2,0,1,1,4,Valor
762,16,2,24,4,9,12,12,35,Instinct
763,2,0,4,2,1,2,2,7,Valor
764,2,0,4,2,1,2,2,7,Valor
765,0,2,6,2,1,3,3,8,Valor
766,20,0,22,2,10,11,11,34,Instinct
767,4,0,6,2,2,3,3,10,Mystic
768,2,2,10,4,2,5,5,14,Mystic
769,8,0,10,2,4,5,5,16,Mystic
770,16,0,18,2,8,9,9,28,Instinct
771,8,2,14,4,5,7,7,21,Instinct
772,4,10,34,12,7,17,17,43,Instinct
773,0,2,4,2,1,2,2,6,Mystic
774,0,2,4,2,1,2,2,6,Valor
775,10,4,18,4,7,9,9,26,Instinct
776,4,0,6,2,2,3,3,10,Valor
777,0,0,2,2,0,1,1,4,Mystic
778,2,0,4,2,1,2,2,7,Valor
779,0,2,8,2,1,4,4,10,Mystic
780,14,2,20,4,8,10,10,30,Instinct
781,2,0,4,2,1,2,2,7,Mystic
782,0,4,12,4,2,6,6,15,Valor
783,0,0,2,2,0,1,1,4,Valor
784,14,0,16,2,7,8,8,25,Instinct
785,14,4,24,6,9,12,12,35,Instinct
786,6,0,8,2,3,4,4,13,Instinct
787,2,4,12,4,3,6,6,16,Mystic
788,0,0,2,2,0,1,1,4,Mystic
789,12,4,22,6,8,11,11,32,Instinct
790,2,0,4,2,1,2,2,7,Mystic
791,0,0,2,2,0,1,1,4,Mystic
792,0,0,2,2,0,1,1,4,Mystic
793,0,0,2,2,0,1,1,4,Valor
794,0,0,2,2,0,1,1,4,Mystic
795,20,0,22,2,10,11,11,34,Instinct
796,0,0,2,2,0,1,1,4,Mystic
797,12,4,26,6,8,13,13,36,Instinct
798,4,0,6,2,2,3,3,10,Mystic
799,0,0,2,2,0,1,1,4,Mystic
800,16,0,18,2,8,9,9,28,Instinct
801,6,8,30,10,7,15,15,39,Instinct
802,18,0,20,2,9,10,10,31,Instinct
803,0,0,2,2,0,1,1,4,Mystic
804,14,0,16,2,7,8,8,25,Instinct
805,0,0,2,2,0,1,1,4,Mystic
806,2,4,12,4,3,6,6,16,Mystic
807,18,2,24,4,10,12,12,36,Instinct
808,12,4,24,6,8,12,12,34,Instinct
809,0,2,6,4,1,3,3,9,Valor
810,0,2,6,4,1,3,3,9,Valor
811,12,6,26,8,9,13,13,37,Instinct
812,0,2,6,4,1,3,3,9,Valor
813,0,0,2,2,0,1,1,4,Valor
814,10,8,30,10,9,15,15,41,Instinct
815,8,8,26,8,8,13,13,35,Instinct
816,0,0,2,2,0,1,1,4,Valor
817,18,6,30,6,12,15,15,43,Instinct
818,2,0,4,2,1,2,2,7,Valor
819,0,2,6,4,1,3,3,9,Valor
820,2,2,8,4,2,4,4,12,Valor
821,6,0,8,2,3,4,4,13,Mystic
822,0,0,2,2,0,1,1,4,Mystic
823,6,0,8,2,3,4,4,13,Mystic
824,14,4,26,6,9,13,13,37,Instinct
825,6,0,8,2,3,4,4,13,Mystic
826,2,0,4,2,1,2,2,7,Valor
827,2,2,8,2,2,4,4,11,Valor
828,6,4,16,6,5,8,8,23,Mystic
829,4,0,6,2,2,3,3,10,Valor
830,4,0,6,2,2,3,3,10,Mystic
831,0,0,2,2,0,1,1,4,Valor
832,18,0,20,2,9,10,10,31,Instinct
833,2,2,8,4,2,4,4,12,Valor
834,6,8,30,10,7,15,15,39,Instinct
835,0,4,10,4,2,5,5,13,Valor
836,18,2,24,2,10,12,12,35,Instinct
837,0,2,4,2,1,2,2,6,Mystic
838,8,0,10,2,4,5,5,16,Mystic
839,0,0,2,2,0,1,1,4,Mystic
840,18,2,22,2,10,11,11,33,Instinct
841,4,2,10,2,3,5,5,14,Valor
842,8,0,10,2,4,5,5,16,Mystic
843,0,2,4,2,1,2,2,6,Mystic
844,14,2,22,4,8,11,11,32,Instinct
845,16,2,22,4,9,11,11,33,Instinct
846,0,0,2,2,0,1,1,4,Mystic
847,6,0,8,2,3,4,4,13,Valor
848,2,0,4,2,1,2,2,7,Valor
849,2,0,4,2,1,2,2,7,Valor
850,12,4,20,4,8,10,10,29,Instinct
851,2,2,8,4,2,4,4,12,Mystic
852,12,8,40,10,10,20,20,52,Instinct
853,4,0,6,2,2,3,3,10,Valor
854,8,6,24,6,7,12,12,32,Instinct
855,2,0,4,2,1,2,2,7,Mystic
856,16,4,28,6,10,14,14,40,Instinct
857,0,2,6,4,1,3,3,9,Mystic
858,8,6,26,8,7,13,13,35,Instinct
859,16,2,22,4,9,11,11,33,Instinct
860,20,0,22,2,10,11,11,34,Instinct
861,0,2,4,2,1,2,2,6,Valor
862,4,2,10,4,3,5,5,15,Mystic
863,0,2,6,2,1,3,3,8,Valor
864,0,0,2,2,0,1,1,4,Mystic
865,0,0,2,2,0,1,1,4,Mystic
866,4,0,6,2,2,3,3,10,Valor
867,12,8,32,8,10,16,16,43,Instinct
868,0,2,4,2,1,2,2,6,Valor
869,2,0,4,2,1,2,2,7,Valor
870,6,10,30,12,8,15,15,40,Instinct
871,0,0,2,2,0,1,1,4,Valor
872,12,6,30,8,9,15,15,41,Instinct
873,0,0,2,2,0,1,1,4,Mystic
874,0,0,2,2,0,1,1,4,Mystic
875,4,0,6,2,2,3,3,10,Mystic
876,10,6,28,8,8,14,14,38,Instinct
877,0,2,4,2,1,2,2,6,Mystic
878,0,2,6,2,1,3,3,8,Mystic
879,6,0,8,2,3,4,4,13,Mystic
880,12,8,32,10,10,16,16,44,Instinct
881,0,0,2,2,0,1,1,4,Mystic
882,2,0,4,2,1,2,2,7,Valor
883,0,2,6,4,1,3,3,9,Mystic
884,0,0,2,2,0,1,1,4,Valor
885,2,0,4,2,1,2,2,7,Valor
886,2,0,4,2,1,2,2,7,Mystic
887,6,0,8,2,3,4,4,13,Mystic
888,0,2,6,2,1,3,3,8,Mystic
889,10,4,20,6,7,10,10,29,Instinct
890,0,0,2,2,0,1,1,4,Mystic
891,0,0,2,2,0,1,1,4,Valor
892,0,0,2,2,0,1,1,4,Valor
893,4,0,6,2,2,3,3,10,Mystic
894,4,0,6,2,2,3,3,10,Mystic
895,2,0,4,2,1,2,2,7,Mystic
896,14,2,20,4,8,10,10,30,Instinct
897,16,2,22,4,9,11,11,33,Instinct
898,0,2,4,2,1,2,2,6,Valor
899,0,2,4,2,1,2,2,6,Valor
900,14,2,20,4,8,10,10,30,Instinct
901,16,2,22,4,9,11,11,33,Instinct
902,6,2,12,4,4,6,6,18,Mystic
903,0,0,2,2,0,1,1,4,Valor
904,4,2,8,2,3,4,4,12,Valor
905,0,0,2,2,0,1,1,4,Valor
906,14,4,24,6,9,12,12,35,Instinct
907,0,2,4,2,1,2,2,6,Valor
908,16,6,28,6,11,14,14,40,Instinct
909,2,0,4,2,1,2,2,7,Valor
910,2,2,8,4,2,4,4,12,Valor
911,14,6,28,6,10,14,14,39,Instinct
912,0,0,2,2,0,1,1,4,Valor
913,0,0,2,2,0,1,1,4,Valor
914,6,0,8,2,3,4,4,13,Valor
915,12,6,34,8,9,17,17,45,Instinct
916,2,0,4,2,1,2,2,7,Mystic
917,4,0,6,2,2,3,3,10,Valor
918,0,2,4,2,1,2,2,6,Mystic
919,0,0,2,2,0,1,1,4,Valor
920,14,2,22,4,8,11,11,32,Instinct
921,2,0,4,2,1,2,2,7,Valor
922,16,2,24,4,9,12,12,35,Instinct
923,4,0,6,2,2,3,3,10,Mystic
924,6,8,26,10,7,13,13,35,Instinct
925,4,0,6,2,2,3,3,10,Mystic
926,4,0,6,2,2,3,3,10,Valor
927,6,10,34,12,8,17,17,44,Instinct
928,2,4,14,6,3,7,7,19,Valor
929,2,0,4,2,1,2,2,7,Valor
930,12,4,22,6,8,11,11,32,Instinct
931,4,8,24,10,6,12,12,32,Instinct
932,14,0,16,2,7,8,8,25,Instinct
933,2,2,8,4,2,4,4,12,Valor
934,0,2,6,4,1,3,3,9,Valor
935,0,0,2,2,0,1,1,4,Mystic
936,12,2,20,4,7,10,10,29,Instinct
937,2,0,4,2,1,2,2,7,Mystic
938,14,6,28,8,10,14,14,40,Instinct
939,4,2,8,2,3,4,4,12,Valor
940,16,4,24,4,10,12,12,35,Instinct
941,4,10,30,12,7,15,15,39,Instinct
942,0,0,2,2,0,1,1,4,Mystic
943,0,2,4,2,1,2,2,6,Valor
944,0,0,2,2,0,1,1,4,Valor
945,18,0,20,2,9,10,10,31,Instinct
946,0,2,6,4,1,3,3,9,Mystic
947,0,0,2,2,0,1,1,4,Mystic
948,0,0,2,2,0,1,1,4,Mystic
949,0,0,2,2,0,1,1,4,Mystic
950,10,6,26,8,8,13,13,36,Instinct
951,0,0,2,2,0,1,1,4,Mystic
952,18,4,28,6,11,14,14,41,Instinct
953,0,2,6,4,1,3,3,9,Valor
954,16,2,22,4,9,11,11,33,Instinct
955,0,0,2,2,0,1,1,4,Mystic
956,12,6,26,6,9,13,13,36,Instinct
957,4,0,6,2,2,3,3,10,Valor
958,0,0,2,2,0,1,1,4,Mystic
959,0,0,2,2,0,1,1,4,Mystic
960,0,0,2,2,0,1,1,4,Valor
961,0,0,2,2,0,1,1,4,Valor
962,0,0,2,2,0,1,1,4,Valor
963,0,2,4,2,1,2,2,6,Mystic
964,0,2,6,4,1,3,3,9,Valor
965,16,2,22,4,9,11,11,33,Instinct
966,8,6,24,8,7,12,12,33,Instinct
967,0,0,2,2,0,1,1,4,Valor
968,0,0,2,2,0,1,1,4,Mystic
969,0,0,2,2,0,1,1,4,Mystic
970,0,0,2,2,0,1,1,4,Mystic
971,12,4,22,6,8,11,11,32,Instinct
972,2,2,6,2,2,3,3,9,Valor
973,6,2,10,2,4,5,5,15,Valor
974,4,0,6,2,2,3,3,10,Mystic
975,0,2,8,2,1,4,4,10,Valor
976,18,2,26,4,10,13,13,38,Instinct
977,2,2,8,4,2,4,4,12,Valor
978,0,0,2,2,0,1,1,4,Mystic
979,12,6,26,6,9,13,13,36,Valor
980,8,0,10,2,4,5,5,16,Mystic
981,8,0,10,2,4,5,5,16,Valor
982,4,0,6,2,2,3,3,10,Valor
983,6,8,26,10,7,13,13,35,Instinct
984,2,0,4,2,1,2,2,7,Valor
985,0,2,6,4,1,3,3,9,Valor
986,2,0,4,2,1,2,2,7,Mystic
987,0,0,2,2,0,1,1,4,Mystic
988,6,2,12,4,4,6,6,18,Mystic
989,10,4,26,6,7,13,13,35,Instinct
990,4,0,6,2,2,3,3,10,Valor
991,0,2,6,4,1,3,3,9,Mystic
992,0,2,4,2,1,2,2,6,Mystic
993,12,4,26,6,8,13,13,36,Instinct
994,6,0,8,2,3,4,4,13,Mystic
995,6,0,8,2,3,4,4,13,Valor
996,2,0,4,2,1,2,2,7,Valor
997,0,0,2,2,0,1,1,4,Mystic
998,2,2,8,2,2,4,4,11,Valor
999,14,4,24,6,9,12,12,35,Instinct
1000,16,2,20,2,9,10,10,30,Instinct
1001,12,0,14,2,6,7,7,22,Mystic
1002,2,0,4,2,1,2,2,7,Mystic
1003,0,2,6,4,1,3,3,9,Mystic
1004,14,4,30,6,9,15,15,41,Instinct
1005,2,2,6,2,2,3,3,9,Valor
1006,12,2,16,2,7,8,8,24,Mystic
1007,18,0,20,2,9,10,10,31,Instinct
1008,14,4,24,6,9,12,12,35,Instinct
1009,0,2,4,2,1,2,2,6,Mystic
1010,10,4,22,6,7,11,11,31,Instinct
1011,10,4,20,6,7,10,10,29,Instinct
1012,0,2,8,4,1,4,4,11,Mystic
1013,14,6,28,8,10,14,14,40,Instinct
1014,0,0,2,2,0,1,1,4,Mystic
1015,2,4,10,4,3,5,5,14,Mystic
1016,0,2,6,4,1,3,3,9,Valor
1017,16,4,26,6,10,13,13,38,Instinct
1018,0,2,4,2,1,2,2,6,Mystic
1019,2,0,4,2,1,2,2,7,Mystic
1020,0,0,2,2,0,1,1,4,Valor
1021,2,0,4,2,1,2,2,7,Valor
1022,2,0,4,2,1,2,2,7,Valor
1023,0,2,6,2,1,3,3,8,Valor
1024,12,4,24,6,8,12,12,34,Instinct
1025,14,6,28,6,10,14,14,39,Instinct
1026,8,10,34,12,9,17,17,45,Instinct
1027,0,0,2,2,0,1,1,4,Mystic
1028,0,0,2,2,0,1,1,4,Mystic
1029,2,0,4,2,1,2,2,7,Mystic
1030,10,6,24,8,8,12,12,34,Instinct
1031,16,6,28,6,11,14,14,40,Instinct
1032,0,0,2,2,0,1,1,4,Mystic
1033,0,0,2,2,0,1,1,4,Valor
1034,0,2,4,2,1,2,2,6,Mystic
1035,0,0,2,2,0,1,1,4,Valor
1036,2,2,6,2,2,3,3,9,Valor
1037,2,0,4,2,1,2,2,7,Valor
1038,18,0,20,2,9,10,10,31,Instinct
1039,0,0,2,2,0,1,1,4,Mystic
1040,0,0,2,2,0,1,1,4,Mystic
1041,12,4,22,6,8,11,11,32,Instinct
1042,0,0,2,2,0,1,1,4,Valor
1043,18,2,24,4,10,12,12,36,Instinct
1044,2,0,4,2,1,2,2,7,Valor
1045,2,0,4,2,1,2,2,7,Mystic
1046,2,0,4,2,1,2,2,7,Valor
1047,10,6,24,6,8,12,12,33,Instinct
1048,0,2,4,2,1,2,2,6,Valor
1049,14,2,22,4,8,11,11,32,Instinct
1050,14,2,20,4,8,10,10,30,Instinct
1051,8,6,26,8,7,13,13,35,Instinct
1052,6,2,10,2,4,5,5,15,Mystic
1053,4,0,6,2,2,3,3,10,Valor
1054,2,0,4,2,1,2,2,7,Mystic
1055,0,2,4,2,1,2,2,6,Valor
1056,12,4,24,6,8,12,12,34,Instinct
1057,0,2,6,4,1,3,3,9,Mystic
1058,2,0,4,2,1,2,2,7,Valor
1059,12,6,26,6,9,13,13,36,Instinct
1060,0,2,6,4,1,3,3,9,Mystic
1061,0,0,2,2,0,1,1,4,Mystic
1062,14,2,20,4,8,10,10,30,Instinct
1063,0,0,2,2,0,1,1,4,Mystic
1064,4,0,6,2,2,3,3,10,Valor
1065,2,0,4,2,1,2,2,7,Valor
1066,4,0,6,2,2,3,3,10,Mystic
1067,4,0,6,2,2,3,3,10,Valor
1068,10,0,12,2,5,6,6,19,Mystic
1069,14,4,26,6,9,13,13,37,Instinct
1070,0,0,2,2,0,1,1,4,Mystic
1071,10,6,26,8,8,13,13,36,Instinct
1072,4,2,10,4,3,5,5,15,Valor
1073,4,0,6,2,2,3,3,10,Mystic
1074,0,0,2,2,0,1,1,4,Mystic
1075,2,2,8,4,2,4,4,12,Valor
1076,0,0,2,2,0,1,1,4,Mystic
1077,2,2,8,4,2,4,4,12,Valor
1078,4,2,12,4,3,6,6,17,Valor
1079,0,2,6,4,1,3,3,9,Mystic
1080,16,4,24,4,10,12,12,35,Instinct
1081,2,0,4,2,1,2,2,7,Valor
1082,14,6,30,8,10,15,15,42,Instinct
1083,18,0,20,2,9,10,10,31,Instinct
1084,2,4,12,6,3,6,6,17,Valor
1085,4,0,6,2,2,3,3,10,Mystic
1086,2,0,4,2,1,2,2,7,Valor
1087,12,6,28,6,9,14,14,38,Instinct
1088,2,0,4,2,1,2,2,7,Valor
1089,16,2,24,4,9,12,12,35,Instinct
1090,0,0,2,2,0,1,1,4,Valor
1091,0,0,2,2,0,1,1,4,Mystic
1092,2,0,4,2,1,2,2,7,Valor
1093,4,0,6,2,2,3,3,10,Valor
1094,12,4,24,6,8,12,12,34,Instinct
1095,2,0,4,2,1,2,2,7,Mystic
1096,6,0,8,2,3,4,4,13,Mystic
1097,2,2,8,4,2,4,4,12,Valor
1098,0,0,2,2,0,1,1,4,Valor
1099,8,0,10,2,4,5,5,16,Mystic
1100,4,0,6,2,2,3,3,10,Valor
1101,0,0,2,2,0,1,1,4,Valor
1102,2,0,4,2,1,2,2,7,Mystic
1103,14,6,34,6,10,17,17,45,Instinct
1104,18,2,22,2,10,11,11,33,Instinct
1105,2,2,8,4,2,4,4,12,Mystic
1106,6,2,10,2,4,5,5,15,Valor
1107,12,0,14,2,6,7,7,22,Mystic
1108,0,0,2,2,0,1,1,4,Mystic
1109,12,8,40,10,10,20,20,52,Instinct
1110,6,2,12,4,4,6,6,18,Mystic
1111,12,8,28,8,10,14,14,39,Instinct
1112,4,2,10,2,3,5,5,14,Valor
1113,2,2,10,4,2,5,5,14,Valor
1114,12,0,14,2,6,7,7,22,Mystic
1115,2,0,4,2,1,2,2,7,Mystic
1116,0,2,6,4,1,3,3,9,Mystic
1117,0,0,2,2,0,1,1,4,Mystic
1118,6,0,8,2,3,4,4,13,Mystic
1119,16,6,28,6,11,14,14,40,Instinct
1120,12,0,14,2,6,7,7,22,Mystic
1121,0,0,2,2,0,1,1,4,Valor
1122,10,6,26,8,8,13,13,36,Instinct
1123,0,2,4,2,1,2,2,6,Valor
1124,0,2,6,4,1,3,3,9,Valor
1125,18,0,20,2,9,10,10,31,Instinct
1126,6,6,28,8,6,14,14,36,Instinct
1127,2,2,8,4,2,4,4,12,Valor
1128,0,0,2,2,0,1,1,4,Valor
1129,0,0,2,2,0,1,1,4,Mystic
1130,0,0,2,2,0,1,1,4,Valor
1131,14,4,32,6,9,16,16,43,Instinct
1132,0,0,2,2,0,1,1,4,Mystic
1133,0,0,2,2,0,1,1,4,Mystic
1134,6,0,8,2,3,4,4,13,Mystic
1135,0,2,4,2,1,2,2,6,Valor
1136,0,0,2,2,0,1,1,4,Valor
1137,16,2,22,4,9,11,11,33,Instinct
1138,0,2,4,2,1,2,2,6,Mystic
1139,0,2,4,2,1,2,2,6,Valor
1140,2,2,8,4,2,4,4,12,Mystic
1141,14,4,26,6,9,13,13,37,Instinct
1142,0,0,2,2,0,1,1,4,Valor
1143,4,0,6,2,2,3,3,10,Mystic
1144,14,6,28,6,10,14,14,39,Instinct
1145,10,4,22,6,7,11,11,31,Instinct
1146,2,0,4,2,1,2,2,7,Mystic
1147,2,2,8,4,2,4,4,12,Mystic
1148,0,2,8,4,1,4,4,11,Mystic
1149,0,0,2,2,0,1,1,4,Mystic
1150,14,4,26,6,9,13,13,37,Instinct
1151,18,0,20,2,9,10,10,31,Instinct
1152,6,8,36,10,7,18,18,45,Instinct
1153,6,2,12,4,4,6,6,18,Valor
1154,2,0,4,2,1,2,2,7,Valor
1155,4,8,28,10,6,14,14,36,Instinct
1156,4,2,10,4,3,5,5,15,Mystic
1157,0,0,2,2,0,1,1,4,Valor
1158,12,2,18,4,7,9,9,27,Instinct
1159,10,6,24,8,8,12,12,34,Instinct
1160,0,0,2,2,0,1,1,4,Mystic
1161,0,0,2,2,0,1,1,4,Mystic
1162,0,0,2,2,0,1,1,4,Mystic
1163,0,0,2,2,0,1,1,4,Mystic
1164,4,0,6,2,2,3,3,10,Valor
1165,0,2,6,4,1,3,3,9,Valor
1166,12,6,26,6,9,13,13,36,Instinct
1167,14,8,38,8,11,19,19,50,Instinct
1168,0,0,2,2,0,1,1,4,Valor
1169,4,0,6,2,2,3,3,10,Mystic
1170,10,0,12,2,5,6,6,19,Mystic
1171,2,0,4,2,1,2,2,7,Valor
1172,0,2,4,2,1,2,2,6,Valor
1173,14,2,24,4,8,12,12,34,Instinct
1174,4,2,8,2,3,4,4,12,Valor
1175,2,0,4,2,1,2,2,7,Mystic
1176,18,4,30,6,11,15,15,43,Instinct
1177,4,2,10,4,3,5,5,15,Mystic
1178,2,0,4,2,1,2,2,7,Mystic
1179,4,0,6,2,2,3,3,10,Valor
1180,0,0,2,2,0,1,1,4,Valor
1181,0,2,6,2,1,3,3,8,Mystic
1182,2,0,4,2,1,2,2,7,Mystic
1183,0,0,2,2,0,1,1,4,Mystic
1184,4,0,6,2,2,3,3,10,Mystic
1185,0,0,2,2,0,1,1,4,Valor
1186,16,4,28,6,10,14,14,40,Instinct
1187,0,0,2,2,0,1,1,4,Mystic
1188,0,2,6,4,1,3,3,9,Mystic
1189,4,4,14,4,4,7,7,19,Valor
1190,2,0,4,2,1,2,2,7,Valor
1191,12,4,26,6,8,13,13,36,Instinct
1192,6,8,30,10,7,15,15,39,Instinct
1193,12,6,26,8,9,13,13,37,Instinct
1194,10,2,16,4,6,8,8,24,Mystic
1195,12,4,22,6,8,11,11,32,Instinct
1196,6,0,8,2,3,4,4,13,Valor
1197,4,2,8,2,3,4,4,12,Valor
1198,0,2,6,4,1,3,3,9,Valor
1199,8,0,10,2,4,5,5,16,Mystic
